Run,TrainR2Score,TestR2Score,BestIndividual,GenerationOfBestSolution,Time,SympyEquivalence
0,-0.2242443161380574,0.056730715686836186,(log(sin(((0.38**(x0)) + x0))) - 0.518),50,00:00:15.88,False
1,-0.0006635589892121097,-0.029762036173781814,sin(log(0.102)),50,00:00:17.21,False
2,0.7772231135556131,0.8421884290778278,(sin((x0 - x0)) - cos(x0)),50,00:00:13.82,False
3,0.369450712150596,0.35255542123967576,(log(sin(cos(cos(x0)))) / cos(cos(sin(x0)))),50,00:00:14.46,False
4,0.7297940149034204,0.8045264546112219,sin(((-0.515 - x0) - cos(0.318))),50,00:00:13.60,False
5,-0.07096960270301866,-0.17390235722297143,cos((x0 + log(sin(0.058)))),50,00:00:12.03,False
6,-0.18118466409292844,-0.039595912011087364,(log((x0 / x0)) - 0.69),50,00:00:15.79,False
7,0.7772231135556131,0.8421884290778276,(((x0 - cos(x0)) + (x0 - x0)) - x0),50,00:00:16.31,False
8,0.7772231135556131,0.8421884290778278,(log((x0**((((x0 - x0)**((x0 * x0))) * cos((x0 + x0)))))) - cos(x0)),50,00:00:12.72,False
9,0.19149795802433645,-0.24678652354779618,(sin((x0 * x0)) - (x0 / x0)),50,00:00:12.71,False
10,0.3109603715386934,0.4537040808220192,sin(sin(((x0 - x0) - cos(x0)))),50,00:00:17.41,False
11,0.7895526045283542,0.7764036683127378,(cos(((x0 / 0.916)**((x0 / x0)))) / ((cos(x0) * sin(x0)) - ((x0 / x0) + (x0 * 0.674)))),50,00:00:16.85,False
12,0.545835250385829,0.7961013538643015,sin(((x0 - 0.979) - cos(x0))),50,00:00:15.62,False
13,0.7772231135556131,0.8421884290778278,((x0 - x0) - cos(x0)),50,00:00:13.54,False
14,0.7772231135556131,0.8421884290778278,((x0 - x0) - cos(x0)),50,00:00:16.47,False
15,0.7772231135556131,0.8421884290778278,((x0 - x0) - cos(x0)),50,00:00:17.91,False
16,0.7772231135556131,0.8421884290778278,(sin(log((x0 / x0))) - cos(x0)),50,00:00:16.59,False
17,0.7819021339141891,0.8456170517786428,(-0.233 - (cos(x0) + -0.234)),50,00:00:11.94,False
18,0.7772231135556131,0.8421884290778278,((x0 - x0) - cos(x0)),50,00:00:15.33,False
19,0.7772231135556131,0.8421884290778278,(x0 - (cos(x0) + x0)),50,00:00:20.32,False
20,0.6362204058071846,0.7094281451274778,sin((x0 + (cos(-0.707) / ((x0 - x0) / cos((cos(x0) / (cos(x0)**(x0)))))))),50,00:00:17.02,False
21,0.9330251397159683,0.9339837155630731,(0.07 - cos(x0)),50,00:00:17.52,False
22,-0.038104831726925914,0.02446497724783203,sin(sin(sin((sin((x0 * -0.08)) + log((x0 - x0)))))),50,00:00:18.68,False
23,0.6201813464654493,0.4974109178158048,(log((sin(cos(log(cos(x0)))) + -0.467)) + (x0 * x0)),50,00:00:11.41,False
24,0.40955197915105634,0.5315932002123147,(sin(cos(x0)) / -0.834),50,00:00:13.48,False
25,0.1293631674694058,-0.218248657126225,((x0 * x0) - (0.59**(-0.263))),50,00:00:14.61,False
26,0.6692764861199298,0.7005729777246533,((sin(x0) - cos(x0)) - x0),50,00:00:14.74,False
27,0.6692764861199298,0.7005729777246533,((sin(x0) - cos(x0)) - x0),50,00:00:16.39,False
28,0.7772231135556131,0.8421884290778278,((x0 - x0) - cos(x0)),50,00:00:13.96,False
29,0.15281976473716752,0.40099874291691584,(log((x0 / x0)) - cos((x0 * x0))),50,00:00:14.17,False
