Run,TrainR2Score,TestR2Score,BestIndividual,GenerationOfBestSolution,Time,SympyEquivalence
0,0.7613268482735386,0.6136552154639914,(cos(-0.059) + (x0 - 0.597)),50,00:00:13.17,False
1,0.8374900249098173,0.7120377885041047,cos(((cos(x1) - x0) / cos(cos(x0)))),50,00:00:16.07,False
2,0.802986171558101,0.64361049413836,sin((0.476 + x0)),50,00:00:12.43,False
3,0.7940639636509144,0.6168981026801351,cos((cos(-0.301) * (cos(x1) + (0.732 - x0)))),50,00:00:12.54,False
4,0.7764314480271253,0.5173617322594786,(x0 + (cos(0.143) * 0.143)),50,00:00:15.82,False
5,0.8164976889168823,0.6221388577240234,((x0**((x1 / x1))) - sin((0.112 / -0.457))),50,00:00:12.65,False
6,0.758094039076764,0.46370110874635206,(sin(x0) + 0.096),50,00:00:14.77,False
7,0.8409251841339549,0.6637967075632643,(sin(x0) - -0.262),50,00:00:12.68,False
8,0.8312583765057212,0.6230155776601499,sin((x0 - -0.25)),50,00:00:15.17,False
9,0.79323628284543,0.5346301386562299,(sin(x0) - -0.137),50,00:00:14.20,False
10,0.928567417449979,0.8862887945722852,(x0 - log(cos(x1))),50,00:00:14.92,False
11,0.9971039608107686,0.990350076571977,(sin(x0) + (x1 * x1)),50,00:00:18.98,False
12,0.638127166642729,0.2424290482498046,(sin(x0) + (x0 - x0)),50,00:00:11.47,False
13,0.9840397030681152,0.9792768982540907,(x0 + (x1 * x1)),50,00:00:12.69,False
14,0.928567417449979,0.8862887945722852,(x0 - log(cos(x1))),50,00:00:15.86,False
15,0.7715558763621914,0.5611217735208714,sin(log(((x0 + 0.676) + (0.326 + 0.366)))),50,00:00:20.06,False
16,0.9364062897456706,0.9035682972894612,(x0 - log(sin(cos(x1)))),50,00:00:11.66,False
17,0.9868164468934428,0.9866089309246748,(x0 + sin((x1 * x1))),50,00:00:14.75,False
18,0.8158899014689954,0.5867073290993421,sin((x0 - -0.208)),50,00:00:15.58,False
19,0.9971039608107686,0.990350076571977,(sin(x0) + (x1 * x1)),50,00:00:15.42,False
20,0.8291350580848136,0.6708099455126957,(cos(sin(x0)) * ((0.904 + x0) - cos(0.994))),50,00:00:16.11,False
21,0.8420727184089319,0.6602415417882344,sin((x0 + 0.321)),50,00:00:12.98,False
22,0.9840397030681152,0.9792768982540907,(x0 + (x1 * x1)),50,00:00:17.33,False
23,0.974124177919797,0.9544413776241712,sin(((x1 * x1) + x0)),50,00:00:15.81,False
24,0.9840397030681152,0.9792768982540907,((x1 * x1) + x0),50,00:00:11.21,False
25,0.9868164468934428,0.9866089309246748,(sin((x1 * x1)) + x0),50,00:00:12.18,False
26,0.7986696546207421,0.5675616054390321,(x0 - log(sin(cos(-0.153)))),50,00:00:10.97,False
27,0.9840397030681152,0.9792768982540907,((x1 * x1) + x0),50,00:00:14.43,False
28,0.9971039608107686,0.990350076571977,((x1 * x1) + sin(x0)),50,00:00:16.38,False
29,0.7361106310063219,0.43604285376355445,(x0 - log(cos(0.424))),50,00:00:12.48,False
