Run,TrainR2Score,TestR2Score,BestIndividual,GenerationOfBestSolution,Time,SympyEquivalence
0,0.8409488363250675,0.8679218877208591,((x0 + (x0 * x0)) / (cos(x0)**(x0))),50,00:00:14.52,False
1,0.8810905734586791,0.781740548439751,(x0 / cos(((sin(x0) * (x0 - -0.692)) + sin((x0 - x0))))),50,00:00:16.49,False
2,0.7604164524467518,0.8568970120164112,(x0 / ((-0.928 - -0.203) / (-0.975 - x0))),50,00:00:13.19,False
3,0.7186655050032602,0.7843762442526465,(((x0 + x0) * sin(x0)) + x0),50,00:00:15.88,False
4,0.9153341584540973,0.9069552035231073,((x0 + 0.986) * (x0 + x0)),50,00:00:15.28,False
5,0.7867722415342869,0.7521223467450099,(x0 / (0.121**(x0))),50,00:00:13.23,False
6,0.9162754736017394,0.903524070620821,((x0 + (x0 / x0)) * (x0 + x0)),50,00:00:10.88,False
7,0.5909005012453441,0.7038706409075921,(x0 + (x0 * x0)),50,00:00:16.17,False
8,0.7691666934136875,0.797303807127741,((x0 * x0) + (x0 + x0)),50,00:00:13.66,False
9,0.9751332787111129,0.9846073119380968,(x0 / (0.207**(x0))),50,00:00:14.50,False
10,0.5909005012453441,0.7038706409075921,((x0 * x0) + x0),50,00:00:19.07,False
11,0.6446042852883032,0.7744702268209159,((sin(x0) - (x0 * -0.655)) * (sin(x0) + cos(x0))),50,00:00:14.53,False
12,0.6744325515121137,0.7935234927259028,(((x0 - -0.72) + cos(x0)) * x0),50,00:00:16.76,False
13,0.5909005012453441,0.7038706409075921,(((x0 + (x0 / x0))**((x0 / x0))) * x0),50,00:00:17.10,False
14,0.5909005012453441,0.7038706409075921,((x0 * x0) + x0),50,00:00:17.01,False
15,0.7285827754850359,0.820057222126007,(((x0 - 0.41) * x0) + ((x0 + x0) - (x0 - x0))),50,00:00:21.33,False
16,0.8328898007876542,0.782475994201933,((cos(x0)**((x0 / -0.369))) * sin(x0)),50,00:00:15.60,False
17,0.6337606320351171,0.7460343575839574,((x0 + (x0 * x0)) / cos(-0.388)),50,00:00:12.47,False
18,0.877132828002402,0.9292984306142965,(sin(x0) / (0.234**(x0))),50,00:00:12.35,False
19,0.562283052176968,0.6865431030914365,(sin((x0 * x0)) + x0),50,00:00:19.97,False
20,0.735248825997634,0.6848727510578201,(cos(cos(x0)) + (x0 + x0)),50,00:00:12.80,False
21,0.5909005012453441,0.7038706409075921,(x0 + ((x0 - x0) + (x0 * x0))),50,00:00:12.22,False
22,0.9083478110579786,0.917600009166626,((x0 + 0.922) * (x0 + x0)),50,00:00:15.19,False
23,0.9494562914929728,0.8807288708462189,(((x0 + x0) * sin(x0)) * ((x0 - -0.941) + x0)),50,00:00:14.54,False
24,0.7413668844659376,0.7861264415442791,(x0 - (log(cos(x0)) / 0.325)),50,00:00:19.18,False
25,0.585546773153121,0.6979181437361495,((x0 * x0) + (x0 * 0.983)),50,00:00:17.87,False
26,0.562283052176968,0.6865431030914365,(sin((x0 * x0)) + x0),50,00:00:15.09,False
27,0.5275897012164003,0.6565813467658953,(x0 + (sin(x0) * sin(x0))),50,00:00:15.66,False
28,0.6400567112562789,0.7552646118150749,(((x0 * x0) - (x0 / -0.855)) - log((x0 / x0))),50,00:00:14.14,False
29,0.9467786012436362,0.8459861179625455,(((x0 - -0.701) + (x0 * x0)) * (x0 + x0)),50,00:00:17.76,False
