Run,TrainR2Score,TestR2Score,BestIndividual,GenerationOfBestSolution,Time,SympyEquivalence
0,0.9962348483517675,0.996939128054863,((x0 + sin(x0)) * cos(x1)),50,00:00:11.72,False
1,0.931736688191392,0.9480216167880549,sin((x0 + x0)),50,00:00:17.43,False
2,0.9920790766203116,0.9911122925546034,((cos(x0) + cos(x1)) * x0),50,00:00:14.17,False
3,0.9400494615814412,0.9312650827676063,(sin(x0) + sin(sin(x0))),50,00:00:16.62,False
4,0.9556566992221374,0.9570112042600464,(x0 + (cos((cos(x0)**((0.202 * x1)))) * x0)),50,00:00:14.47,False
5,0.9369936478378751,0.9511761920960717,sin((x0 + sin((x0 * 0.914)))),50,00:00:18.78,False
6,0.9904917376516019,0.9907554632347884,(x0 / cos(cos(sin(x1)))),50,00:00:13.78,False
7,0.9849393934070697,0.9877565122194516,(cos(x1) * (x0 + x0)),50,00:00:15.17,False
8,0.931736688191392,0.9480216167880549,sin((x0 + x0)),50,00:00:15.31,False
9,0.9427350743220313,0.9383782333498748,(((0.433 - -0.814) * cos(0.138)) * ((x0 + x0) * sin(0.753))),50,00:00:12.58,False
10,0.9611576021776342,0.9601096863573216,((x0 / 0.398) - x0),50,00:00:18.15,False
11,0.9960797149835551,0.9960741220046803,(sin(x0) / sin(cos(cos(x1)))),50,00:00:15.19,False
12,0.9507355143579532,0.9574101841022307,(x0 / cos(cos((sin(x1) * (x0 / x1))))),50,00:00:14.77,False
13,0.931736688191392,0.9480216167880549,sin((x0 + x0)),50,00:00:11.18,False
14,0.9450958021390106,0.9364657926009846,((cos(x0) * x0) + x0),50,00:00:17.78,False
15,0.9358429779290004,0.950525763292425,sin((x0 + sin(x0))),50,00:00:14.56,False
16,0.9460772755813841,0.9570510867305205,(cos(x0) * (sin(x0) + x0)),50,00:00:18.13,False
17,0.931736688191392,0.9480216167880549,sin((x0 + x0)),50,00:00:18.68,False
18,0.99491481470248,0.9952675131465671,(x0 / cos(cos(x1))),50,00:00:12.36,False
19,0.9358429779290004,0.950525763292425,sin((sin(x0) + x0)),50,00:00:13.22,False
20,0.9559089816196258,0.9532271966969276,((0.607**(-0.939)) * x0),50,00:00:12.59,False
21,0.931736688191392,0.9480216167880549,sin((x0 + x0)),50,00:00:11.42,False
22,0.931736688191392,0.9480216167880549,sin((x0 + x0)),50,00:00:13.69,False
23,0.9097872309872603,0.8921883741832863,(cos(log(cos(x0))) * (x0 + x0)),50,00:00:12.95,False
24,0.9471655662242275,0.9432654200481988,((0.733 + 0.931) * x0),50,00:00:11.43,False
25,0.99491481470248,0.9952675131465671,(x0 / cos(cos(x1))),50,00:00:13.02,False
26,0.9606059393727597,0.9592002958456946,((x0 + x0) + (x0 * -0.469)),50,00:00:14.17,False
27,0.8861312621992782,0.8752655720314783,(x0 + sin(x0)),50,00:00:15.50,False
28,0.9358429779290004,0.950525763292425,sin((sin(x0) + x0)),50,00:00:12.54,False
29,0.9576573641009082,0.9543308522189151,(cos((x1 * x0)) * (x0 + x0)),50,00:00:14.10,False
