Run,TrainR2Score,TestR2Score,BestIndividual,GenerationOfBestSolution,Time,SympyEquivalence
0,0.8778638753862011,0.8825920969992662,((x0 + (x0 * x0)) / (cos(x0)**(x0))),50,00:00:14.05,False
1,0.805377719469875,0.6809613947217612,(x0 + (x0 * cos(((x0 / x0) - x0)))),50,00:00:16.64,False
2,0.9194082613681174,0.864158787221666,((x0 + x0) + (x0 * x0)),50,00:00:18.27,False
3,0.9194082613681174,0.8641587872216661,(((x0 * x0) + x0) + x0),50,00:00:22.46,False
4,0.9194082613681174,0.864158787221666,((x0 * x0) + (x0 + x0)),50,00:00:16.56,False
5,0.9073713402343169,0.8609941082994378,(x0 / (0.569**((x0 + x0)))),50,00:00:14.04,False
6,0.9175461967487688,0.9041054138393095,((x0 + 0.821) * (x0 + x0)),50,00:00:17.66,False
7,0.8877844246797428,0.805216692454686,((((x0 * x0) * cos(x0)) + ((x0 + x0) * cos(-0.852))) + sin((x0 * x0))),50,00:00:17.16,False
8,0.7987229097968945,0.6778622745238958,(sin((x0 * x0)) + (sin(x0) - (x0 * -0.328))),50,00:00:14.01,False
9,0.7295329842602192,0.6355017749540234,((x0 * x0) + x0),50,00:00:14.72,False
10,0.8516252412032275,0.7834503262896961,(cos(cos(x0)) * ((x0 + x0) + (x0 * x0))),50,00:00:14.62,False
11,0.9194082613681174,0.864158787221666,(((x0 * x0) / (x0 / x0)) - ((x0 - x0) - (x0 + x0))),50,00:00:14.18,False
12,0.8828135734521598,0.9564895824289251,((sin(x0) / cos(x0)) / (cos(x0)**((x0 + x0)))),50,00:00:16.05,False
13,0.8492839235579208,0.7845347855780022,(x0 / (sin(sin(sin(0.413)))**(x0))),50,00:00:16.88,False
14,0.9014339009358269,0.8565046396383482,(x0 + ((x0 / ((x0 / x0) * cos(-0.31))) - log((cos(x0) - 0.152)))),50,00:00:13.73,False
15,0.7128920090398452,0.606335937695873,((sin(x0) + (sin(sin(x0))**((x0 - x0)))) * x0),50,00:00:13.70,False
16,0.6344339937054337,0.5362278701784879,(x0 - log((x0 + (cos(x0) - x0)))),50,00:00:14.38,False
17,0.8435389609583699,0.8109078550087886,((x0 + x0) * (cos(-0.913) + x0)),50,00:00:11.96,False
18,0.881527000790032,0.852692667366504,((x0 - log(cos(x0))) / sin(cos(x0))),50,00:00:15.36,False
19,0.8725949993099522,0.814200750181832,(x0 + ((x0 * x0) * (x0 + 0.764))),50,00:00:12.63,False
20,0.9194082613681174,0.864158787221666,((x0 * x0) + (x0 + x0)),50,00:00:14.48,False
21,0.9194082613681174,0.864158787221666,((x0 + x0) + (x0 * x0)),50,00:00:11.81,False
22,0.8948286516535192,0.7974432603926578,(((x0 * x0) + x0) / cos((log(cos((x0 - x0))) - cos((x0 * sin(x0)))))),50,00:00:13.21,False
23,0.7918411968613223,0.6595948062095394,(((0.943 * x0) + x0) * sin((cos((x0 - x0)) + sin(sin(x0))))),50,00:00:16.45,False
24,0.8308703454136205,-1742.630902240453,(x0 + (cos(log((x0 - x0))) / cos((-0.614 - x0)))),50,00:00:13.38,False
25,0.9154864853433526,0.9490549571965361,((x0 * log(cos((0.154 + x0)))) / log(0.825)),50,00:00:11.50,False
26,0.6848955196433699,0.5853499825386835,(sin(x0) + (x0 * x0)),50,00:00:13.57,False
27,0.7295329842602192,0.6355017749540234,((x0 * x0) + x0),50,00:00:16.13,False
28,0.9388379777617233,0.9056510668638778,(x0 / (0.291**(x0))),50,00:00:14.54,False
29,0.9297886488693395,0.8833414232870851,(x0 + ((((x0 * x0)**((x0 / x0))) - (sin(x0) - (x0 + x0))) * x0)),50,00:00:17.04,False
