Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,GenerationOfBestSolution,Time,SympyEquivalence
0,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:47.70,False
1,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:22.25,False
2,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:33.15,False
3,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:20.58,False
4,0.9509873043032885,0.9619748160168959,((x0 + cos(sin(x0))) - cos((log(cos((x0 / x0))) + (((0.055 * x0) * (x0 - x0)) - x0)))),x0 - cos(x0 - log(cos(1))) + cos(sin(x0)),50,00:00:18.79,False
5,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:17.71,False
6,0.934325404509397,0.8656765755013893,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:42.89,False
7,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:23.49,False
8,0.9128541243774619,0.8231520563987167,(sin(sin(log(cos(0.363)))) - log((((x0 * x0) + cos(x0)) - sin((x0 + x0))))),-log(x0**2 - sin(2*x0) + cos(x0)) - 0.0672825386761607,50,00:00:29.68,False
9,0.934325404509397,0.8656765755013893,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),50,00:00:28.63,False
10,0.934325404509397,0.8656765755013893,(((x0 * x0) + (x0 + x0))**(((x0 / x0) * (x0 / x0)))),x0*(x0 + 2),50,00:00:21.99,False
11,0.9384766986429574,0.9508332836682655,((cos(-0.674) * (x0 / 0.678)) / sin((0.71**(x0)))),1.15240628022357*x0/sin(0.71**x0),50,00:00:19.22,False
12,0.9267531796838202,0.945396387331329,(sin((x0 * x0)) + sin((x0 + x0))),sin(2*x0) + sin(x0**2),50,00:00:22.19,False
13,0.934325404509397,0.8656765755013893,(x0 + ((((x0 * x0) * x0) + (x0 * x0)) / x0)),x0*(x0 + 2),50,00:00:24.42,False
14,0.8970141559415983,0.790413483918577,((((x0 + x0) + (x0 * x0)) + ((0.786 + x0) * (x0 * x0))) * log(((x0 / x0) + (x0 / x0)))),x0*(x0*(x0 + 0.786) + x0 + 2)*log(2),50,00:00:44.29,False
15,0.9853465530568731,0.9870935355961147,((log(cos(log(0.575))) * (((x0 - x0)**((x0 - x0))) * sin((x0 - x0)))) + ((((x0 / -0.098) * cos(x0)) * sin(sin(-0.25))) + sin(((x0 * x0) * cos(x0))))),2.49885502320634*x0*cos(x0) + sin(x0**2*cos(x0)),50,00:00:19.21,False
16,0.9357485230195766,0.9558135547585258,(log(((sin((0.648 / x0)) * sin(sin(x0))) + cos(sin(sin(x0))))) + (((cos(cos(x0)) * ((x0 + x0) * cos(x0))) / sin(sin(cos(x0)))) + log(((sin(-0.904) / cos(x0))**(((x0 - x0) * (x0 / x0))))))),2*x0*cos(x0)*cos(cos(x0))/sin(sin(cos(x0))) + log(sin(0.648/x0)*sin(sin(x0)) + cos(sin(sin(x0)))),50,00:00:25.62,False
17,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:27.20,False
18,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:24.01,False
19,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:22.39,False
20,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:29.36,False
21,0.934325404509397,0.8656765755013893,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:22.86,False
22,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:25.54,False
23,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:41.40,False
24,0.8703117601302571,0.8427685843940518,sin(((x0 + x0) * cos(x0))),sin(2*x0*cos(x0)),50,00:00:27.45,False
25,0.934325404509397,0.8656765755013893,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:21.03,False
26,0.9541620098067758,0.9607112609960176,(sin((x0 + x0)) - log(cos(x0))),-log(cos(x0)) + sin(2*x0),50,00:00:15.66,False
27,0.934325404509397,0.8656765755013893,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:42.33,False
28,0.934325404509397,0.8656765755013893,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),50,00:00:20.51,False
29,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:37.62,False
