Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,Time,SympyEquivalence
0,0.792379708658327,0.542139175847882,(sin(x0) - (cos(x1) * (x0 * x0))),-x0**2*cos(x1) + sin(x0),00:00:27.68,False
1,0.999305587089346,0.999330112364653,((cos(x1) / 0.513) * sin(x0)),1.94931773879142*sin(x0)*cos(x1),00:00:34.60,False
2,0.960285008266477,0.963277477553591,(sin(cos(x1)) / (0.411 / x0)),2.4330900243309*x0*sin(cos(x1)),00:00:24.50,False
3,0.957822736217578,0.958558554695239,(x0 * (cos((x0 * x0)) + cos(x0))),x0*(cos(x0) + cos(x0**2)),00:00:31.22,False
4,0.962978548196711,0.959643286273794,((x1 - (x1 - (cos(x1) * (x0 * 0.893)))) / cos(cos((x1 * x0)))),0.893*x0*cos(x1)/cos(cos(x0*x1)),00:00:19.50,False
5,0.940049461581441,0.931265082767606,(sin(x0) + sin(sin(x0))),sin(x0) + sin(sin(x0)),00:00:39.47,False
6,0.931736688191392,0.948021616788055,sin((x0 + x0)),sin(2*x0),00:00:25.90,False
7,0.936710985345595,0.950948599892102,sin((x0 - sin(((x1 - x1) - sin(x0))))),sin(x0 + sin(sin(x0))),00:00:28.63,False
8,0.931736688191392,0.948021616788055,sin((x0 + x0)),sin(2*x0),00:00:29.83,False
9,0.931736688191392,0.948021616788055,sin((x0 + x0)),sin(2*x0),00:00:24.18,False
10,1,1,(cos(x1) * (sin(x0) + sin(x0))),2*sin(x0)*cos(x1),00:00:00.99,True
11,0.931736688191392,0.948021616788055,sin((x0 + x0)),sin(2*x0),00:00:19.66,False
12,0.959892641188097,0.96041533692078,((x0 + x0) * sin(0.799)),1.43331805125656*x0,00:00:27.18,False
13,0.961256807992922,0.960994563580627,(x0 / sin(cos(0.728))),1.47258367061187*x0,00:00:47.40,False
14,0.884933846888451,0.890104186189695,((x0 + x0) - sin(x0)),2*x0 - sin(x0),00:00:33.30,False
15,0.950033407114432,0.955065544769478,(sin(x0) / 0.689),1.45137880986938*sin(x0),00:00:23.55,False
16,0.911953124998236,0.921340559296243,(x0 / sin(cos(x0))),x0/sin(cos(x0)),00:00:25.55,False
17,0.931736688191392,0.948021616788055,sin((x0 + x0)),sin(2*x0),00:00:24.42,False
18,0.965767807602315,0.963066650042524,((x0 * sin(cos(x0))) + sin(((x1 + x0) - x1))),x0*sin(cos(x0)) + sin(x0),00:00:26.20,False
19,0.931736688191392,0.948021616788055,sin((x0 + x0)),sin(2*x0),00:00:30.74,False
20,0.98493939340707,0.987756512219451,(cos(x1) * (x0 + x0)),2*x0*cos(x1),00:00:33.18,False
21,0.965771799844561,0.964104379074186,(sin(sin(x0)) / cos((x0 / x0))),sin(sin(x0))/cos(1),00:00:26.92,False
22,0.921926934667668,0.911374859053091,(sin(x0) + sin(x0)),2*sin(x0),00:00:22.65,False
23,0.955931508067441,0.961973634189028,(cos(x0) * (x0 + x0)),2*x0*cos(x0),00:00:22.97,False
24,0.978592995802373,0.978566123170668,(sin(x1) * ((x0 / x1) / sin(0.704))),1.54494580890135*x0*sin(x1)/x1,00:00:56.61,False
25,0.931736688191392,0.948021616788055,sin((x0 + x0)),sin(2*x0),00:00:32.01,False
26,0.940049461581441,0.931265082767606,(sin(x0) + sin(sin(x0))),sin(x0) + sin(sin(x0)),00:00:43.73,False
27,0.884127053308429,0.940935838612074,(sin((x0 + x0)) / cos((0.085 / x0))),sin(2*x0)/cos(0.085/x0),00:00:26.01,False
28,0.90133059786,0.910799427617724,(sin(sin(x0)) / sin(cos(sin(sin(sin(x0)))))),sin(sin(x0))/sin(cos(sin(sin(sin(x0))))),00:00:23.83,False
29,0.965109972623378,0.966947903834671,(((x1 * x0) / x1) / sin(cos(cos(x0)))),x0/sin(cos(cos(x0))),00:00:20.89,False
