Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,Time,SympyEquivalence
0,0.8629248825208088,0.841151401447191,(((log(cos(x0)) + sin((x0 + x1))) - cos(x0)) + cos(x1)),log(cos(x0)) + sin(x0 + x1) - cos(x0) + cos(x1),00:00:22.38,False
1,0.6953585781268878,0.7553855847810266,((x0 + x1) / 0.995),1.00502512562814*x0 + 1.00502512562814*x1,00:00:17.94,False
2,0.746720119260082,0.8117707203698346,((x0 + x1) * (cos(x0)**(sin(x0)))),(x0 + x1)*cos(x0)**sin(x0),00:00:13.55,False
3,0.7284635857813215,0.671306655493555,((x1 / x1) * cos((log(0.137) + (x1 + x0)))),cos(x0 + x1 - 1.98777435315401),00:00:15.09,False
4,0.9557794681870496,0.9499040848440801,((cos(x1) * x1) + (x0 - sin((x1 * x1)))),x0 + x1*cos(x1) - sin(x1**2),00:00:16.97,False
5,0.8214138842839568,0.8995591424692421,((x0 + x1) * (0.992 - x1)),-(x0 + x1)*(x1 - 0.992),00:00:21.60,False
6,0.7001081651038599,0.6396148156634982,(x0 + (x1 * 0.536)),x0 + 0.536*x1,00:00:14.92,False
7,0.7202590047845561,0.7266345200375921,(sin(x1) + sin(x0)),sin(x0) + sin(x1),00:00:17.56,False
8,0.6960977130659332,0.5874309382051162,((((x0 + sin(x1)) * cos(x1)) - x0) + x0),(x0 + sin(x1))*cos(x1),00:00:22.50,False
9,0.7214629337172878,0.7344883288415758,(x0 + sin(x1)),x0 + sin(x1),00:00:16.79,False
10,0.7089076557615119,0.7650481604430842,(sin(-0.014) + (x0 + x1)),x0 + x1 - 0.0139995426711485,00:00:16.09,False
11,0.6703938970676433,0.6391101384038669,sin((x0 + x1)),sin(x0 + x1),00:00:20.36,False
12,0.7192468326455363,0.7190109488097614,((x1 * 0.798) - (x0 * -0.936)),0.936*x0 + 0.798*x1,00:00:20.65,False
13,0.8541492818614106,0.8975252838110497,(-0.285 + (x1 + x0)),x0 + x1 - 0.285,00:00:13.78,False
14,0.6703938970676433,0.6391101384038669,sin((x0 + x1)),sin(x0 + x1),00:00:16.97,False
15,0.7036603206297712,0.6186664145363014,((x1 + x0) * cos(x1)),(x0 + x1)*cos(x1),00:00:17.91,False
16,1.0,1.0,((x0 + x1) - (x1 * x1)),x0 - x1**2 + x1,00:00:01.13,True
17,0.9939440856196743,0.9952641492151041,((x0 + sin(x1)) - ((x1 * x0) / (x0 / x1))),x0 - x1**2 + sin(x1),00:00:14.56,False
18,0.7202590047845561,0.7266345200375921,(sin(x1) + sin(x0)),sin(x0) + sin(x1),00:00:22.95,False
19,0.817597879629761,0.843242107037889,(((x1 + x0) + (-0.222 + 0.061)) - ((x1 + x0) * sin(0.053))),0.947024809348604*x0 + 0.947024809348604*x1 - 0.161,00:00:21.03,False
20,0.8401976230238012,0.905999943503355,((x1 + x0) + (cos(cos(x0)) - (x0 / x0))),x0 + x1 + cos(cos(x0)) - 1,00:00:19.41,False
21,0.6703938970676433,0.6391101384038669,sin((x1 + x0)),sin(x0 + x1),00:00:19.65,False
22,0.6965469026368987,0.7548402844568787,(((x1 / x1) + (x0 - x0)) * ((x0 + x1) / (x1 / x1))),x0 + x1,00:00:23.59,False
23,0.7549021636256903,0.5997330611662627,((x0 + sin(cos(-0.218))) - ((cos(x0) * cos(x0))**(x1))),x0 - (cos(x0)**2)**x1 + 0.82844860516182,00:00:16.75,False
24,0.7036603206297712,0.6186664145363014,((x0 + x1) * cos(x1)),(x0 + x1)*cos(x1),00:00:24.69,False
25,0.9279430125754108,0.9625904883360112,((x0 + (-0.808 + x1)) - (cos(-0.988) - cos(x1))),x0 + x1 + cos(x1) - 1.35836081404473,00:00:24.65,False
26,0.6703938970676433,0.6391101384038669,sin((x0 + x1)),sin(x0 + x1),00:00:23.45,False
27,0.7648978941018382,0.7722934596535567,((0.387**(x1)) * (x1 + x0)),0.387**x1*(x0 + x1),00:00:17.41,False
28,0.8583779845480872,0.8834018036038104,(x1 * ((x0 / x1) - (x1 - 0.439))),x0 + x1*(0.439 - x1),00:00:14.98,False
29,0.7202590047845561,0.7266345200375921,(sin(x1) + sin(x0)),sin(x0) + sin(x1),00:00:23.67,False
