Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,Time,SympyEquivalence
0,0.5986400233079889,0.6525499272095847,((x0 + x1) / cos(x1)),(x0 + x1)/cos(x1),00:00:16.24,False
1,0.9938176898664293,0.9922978465669121,((x1 + (x1 * x1)) + sin(x0)),x1**2 + x1 + sin(x0),00:00:13.43,False
2,0.8487224460777919,0.737658979288407,((0.307 + x1) + (0.169 + x0)),x0 + x1 + 0.476,00:00:13.28,False
3,0.7765121592864207,0.8544334533994685,(x0 - (-0.127 - x1)),x0 + x1 + 0.127,00:00:15.75,False
4,0.6405478396663798,0.7662812428949306,(x1 + sin(x0)),x1 + sin(x0),00:00:11.67,False
5,0.8436289027492858,0.8361248220600774,(sin(x0) - (-0.303 - x1)),x1 + sin(x0) + 0.303,00:00:13.84,False
6,0.8339539559899107,0.7119643709987451,((0.488 + x1) + sin(x0)),x1 + sin(x0) + 0.488,00:00:12.35,False
7,0.6209986398623416,0.7012780788758898,((x1 / 0.751) + x0),x0 + 1.33155792276964*x1,00:00:17.47,False
8,0.8649148592579882,0.8218085526360753,((x1 + x0) + sin(0.377)),x0 + x1 + 0.368132810544382,00:00:16.12,False
9,0.7898264555577845,0.7669679834068852,((x0 - (x0 - x0)) - ((-0.262 - x1) / cos(x0))),(x0*cos(x0) + x1 + 0.262)/cos(x0),00:00:14.74,False
10,0.8643158906132095,0.8312173447699808,((0.727 + x0) + (-0.376 + x1)),x0 + x1 + 0.351,00:00:12.64,False
11,1.0,1.0,(x1 + (x0 + (x1 * x1))),x0 + x1**2 + x1,00:00:00.36,True
12,0.8000618981530851,0.8902529580524305,((x0 + x1) / (0.649**(x1))),1.54083204930663**x1*(x0 + x1),00:00:18.68,False
13,0.7743367202373068,0.7111847838520575,(sin((x1 + x0)) - sin((0.261 - 0.787))),sin(x0 + x1) + 0.502078077864719,00:00:15.88,False
14,0.8707787291472951,0.9290536797657105,(((x0 + 0.9) + sin(x1)) - sin(cos(x1))),x0 + sin(x1) - sin(cos(x1)) + 0.9,00:00:21.17,False
15,0.8472517406551021,0.7612759490040266,((x1 + 0.434) + sin(x0)),x1 + sin(x0) + 0.434,00:00:13.51,False
16,0.6639548560183202,0.7850122849285552,((x1 + x0) - (x1 * x0)),-x0*x1 + x0 + x1,00:00:11.01,False
17,0.8463062882186723,0.7531818237750872,(sin(x1) + (0.461 + x0)),x0 + sin(x1) + 0.461,00:00:13.30,False
18,0.8254282719798332,0.7151365168323126,(((x0 / x0) + (x1 - 0.533)) + sin(sin(x0))),x1 + sin(sin(x0)) + 0.467,00:00:15.05,False
19,0.6666175134823042,0.807319108964249,(cos((x0 * 0.02)) + (sin(x1) + (-0.984 + x0))),x0 + sin(x1) + cos(0.02*x0) - 0.984,00:00:18.29,False
20,0.762322409494317,0.5846716060976014,((x0 * x0) + (x1 + x0)),x0**2 + x0 + x1,00:00:16.86,False
21,0.7530241288225528,0.9005321948953556,((0.782 + x1) * (x1 + x0)),(x0 + x1)*(x1 + 0.782),00:00:13.55,False
22,0.6405478396663798,0.7662812428949306,(((x1 * x1) / x1) + sin(x0)),x1 + sin(x0),00:00:12.51,False
23,1.0,1.0,(x0 + ((x1 * x1) + x1)),x0 + x1**2 + x1,00:00:00.37,True
24,0.7974107874687894,0.8622404133230586,((x1 + x0) - log(0.854)),x0 + x1 + 0.157824085193567,00:00:11.81,False
25,1.0,1.0,((x1 + x0) + (x1 * x1)),x0 + x1**2 + x1,00:00:00.16,True
26,0.6607299882641808,0.7852342644245431,((x0 - x0) + (x0 + x1)),x0 + x1,00:00:12.33,False
27,0.8066615772199688,0.8505810662671324,((x1 - -0.203) + sin(x0)),x1 + sin(x0) + 0.203,00:00:13.74,False
28,0.9913432173117638,0.9896668006522592,(((x1 * x1) - sin(-0.177)) + ((-0.211 + x1) + sin(x0))),x1**2 + x1 + sin(x0) - 0.0349227588577218,00:00:11.52,False
29,0.6658634793489477,0.7807411815507168,((x0 + x1) / cos(-0.331)),1.05739785260128*x0 + 1.05739785260128*x1,00:00:12.28,False
