Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,Time,SympyEquivalence
0,-0.026736330292283,-0.747686938060254,cos((cos(cos(cos((x0 - x0)))) * ((sin((x0 / x0)) - ((-0.664 + x0) / cos(x0))) + (((x0 + x0)**((x0 - x0))) + cos(x0))))),cos((-x0 + (cos(x0) + sin(1) + 1)*cos(x0) + 0.664)*cos(cos(1))/cos(x0)),00:00:31.78,False
1,0.777223113555613,0.842188429077828,((x0 - x0) - cos(x0)),-cos(x0),00:00:23.86,False
2,0.67230976113717,0.711648029812135,sin(cos((sin(cos(x0)) + ((x0 / x0) + cos(x0))))),sin(cos(sin(cos(x0)) + cos(x0) + 1)),00:00:23.43,False
3,0.967674902543467,0.963713188757514,(log((cos(0.996)**(cos(0.996)))) + log(cos(cos(x0)))),log(cos(cos(x0))) - 0.331321874161918,00:00:22.57,False
4,0.127426419613437,-0.182473404872218,(log(cos(cos((x0 * x0)))) / cos(cos(x0))),log(cos(cos(x0**2)))/cos(cos(x0)),00:00:27.80,False
5,0.731308450953079,0.577248791198371,((cos(x0) * cos(x0)) / (sin(x0) + (-0.999 - x0))),-cos(x0)**2/(x0 - sin(x0) + 0.999),00:00:22.63,False
6,0.533941055265897,0.597885819383834,(cos(x0) * log(0.448)),-0.802962046567152*cos(x0),00:00:20.00,False
7,0.777223113555613,0.842188429077828,((x0 - x0) - cos(x0)),-cos(x0),00:00:15.30,False
8,0.777223113555613,0.842188429077828,((((x0 - x0) / cos(x0)) / log(cos(0.388))) - cos(((x0 / x0) * x0))),-cos(x0),00:00:31.75,False
9,0.185967329075274,0.38304714169868,log(sin((sin(sin(cos(0.9)))**((cos((x0 - x0)) + cos((x0 + x0))))))),log(sin(0.302482074452229**(cos(x0)**2))),00:00:18.67,False
10,0.681320382585665,0.671053226933013,(log((cos(sin(x0)) - log(cos(x0)))) - sin(cos(((x0 * x0) * sin(x0))))),log(-log(cos(x0)) + cos(sin(x0))) - sin(cos(x0**2*sin(x0))),00:00:19.20,False
11,0.12206883985896,0.069314445324433,sin(((cos(-0.456) * (-0.398 + x0)) - ((0.646 * x0)**((x0 - x0))))),sin(0.897821116807522*x0 - 1.35733280448939),00:00:33.33,False
12,0.869077355621911,0.882220502131309,((cos(x0) / (0.902 * x0)) * ((x0 - x0) + (-0.797 * x0))),-0.883592017738359*cos(x0),00:00:23.90,False
13,0.919738529701043,0.935175127589621,log((0.396 / cos(sin(x0)))),log(0.396/cos(sin(x0))),00:00:21.17,False
14,0.817398553386964,0.880303520979705,(log((sin(x0) / sin(x0))) - cos(sin((x0 + x0)))),-cos(sin(2*x0)),00:00:14.65,False
15,0.719149026329238,0.749803151799946,sin((x0 - (((x0 / x0) + cos(x0))**(sin((x0 / x0)))))),sin(x0 - (cos(x0) + 1)**sin(1)),00:00:22.70,False
16,0.12681951430884,0.071882259102745,cos(((cos((cos(x0)**((0.68**(-0.363))))) + (cos((x0 - x0))**(((x0 + x0)**(x0))))) + cos(x0))),cos(cos(x0) + cos(cos(x0)**1.15026860024651) + 1),00:00:20.50,False
17,0.241147890522569,0.134949005257934,log(log((cos(cos(x0)) + cos((-0.756 * x0))))),log(log(cos(0.756*x0) + cos(cos(x0)))),00:00:30.46,False
18,0.912487272798588,0.937066255320434,(x0 / (x0 - (((x0 + x0) - sin(x0)) + (x0 / cos(x0))))),-x0*cos(x0)/(x0 + (x0 - sin(x0))*cos(x0)),00:00:26.52,False
19,0.777223113555613,0.842188429077828,(((x0 - x0) - ((x0 - x0) * (x0 - x0))) - cos(x0)),-cos(x0),00:00:22.24,False
20,0.777223113555613,0.842188429077828,(((x0 - x0) - cos(x0)) + ((x0 / x0) - (x0 / x0))),-cos(x0),00:00:28.82,False
21,0.396626197782858,0.515025566856382,((x0 / sin((x0 / -0.761))) * cos(x0)),-x0*cos(x0)/sin(1.31406044678055*x0),00:00:43.72,False
22,0.777223113555613,0.842188429077828,(((x0 - x0) / x0) - cos(x0)),-cos(x0),00:00:17.58,False
23,0.191497958024336,-0.246786523547796,(sin((x0 * x0)) - ((x0 / x0)**((x0 - x0)))),sin(x0**2) - 1,00:00:21.91,False
24,0.717145317268884,0.80726830100102,(sin(cos(x0)) / sin(((sin((x0 / x0))**(x0)) * log(0.32)))),-sin(cos(x0))/sin(1.13943428318836*sin(1)**x0),00:00:18.02,False
25,0.777223113555613,0.842188429077828,((x0 - x0) - cos(x0)),-cos(x0),00:00:43.79,False
26,0.569106840262127,0.598389357862835,(sin((-0.636 - 0.81)) * cos(sin(x0))),-0.992223039552142*cos(sin(x0)),00:00:33.11,False
27,0.777223113555613,0.842188429077828,((x0 - x0) - cos(x0)),-cos(x0),00:00:18.32,False
28,0.71056233072317,0.769584988631504,(cos((x0 * x0)) / log(0.32)),-0.877628499295106*cos(x0**2),00:00:17.20,False
29,0.777223113555613,0.842188429077828,((x0 - x0) - cos(x0)),-cos(x0),00:00:27.58,False
