Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,Time,SympyEquivalence
0,1.0,1.0,((x1 * x0) + cos(x0)),x0*x1 + cos(x0),00:00:00.17,True
1,0.5913227389684969,0.5054038182813326,(((x0 / x0)**((x1 + x1))) + ((x0 * x1) * cos(x1))),x0*x1*cos(x1) + 1,00:00:14.00,False
2,1.0,1.0,(cos(x0) + (x1 * x0)),x0*x1 + cos(x0),00:00:00.18,True
3,0.6112330954888519,0.7991299942606533,cos((x1 - x0)),cos(x0 - x1),00:00:17.74,False
4,0.7375565461246876,0.8290595809429112,cos(((x1 * -0.754) + sin(x0))),cos(0.754*x1 - sin(x0)),00:00:16.50,False
5,0.63114664507221,0.6905459719359682,((x1 * x0) + (x0 / x0)),x0*x1 + 1,00:00:20.61,False
6,0.6112330954888519,0.7991299942606533,cos((x0 - x1)),cos(x0 - x1),00:00:15.56,False
7,0.6218104408959879,0.8023799837202279,cos((sin(x0) - x1)),cos(x1 - sin(x0)),00:00:15.23,False
8,0.6112330954888519,0.7991299942606533,cos((x1 - x0)),cos(x0 - x1),00:00:14.68,False
9,0.8044518417980444,0.8319932959258143,((x1 * x0) + cos(0.423)),x0*x1 + 0.911861551890901,00:00:13.20,False
10,0.7989239485082813,0.8841300119816384,(cos((x1 - x0)) / sin(cos(0.117))),1.19366289260371*cos(x0 - x1),00:00:14.80,False
11,0.63114664507221,0.6905459719359682,((x0 * x1) + (x1 / x1)),x0*x1 + 1,00:00:17.79,False
12,1.0,1.0,((x0 * x1) + cos(x0)),x0*x1 + cos(x0),00:00:00.45,True
13,0.7068988913553677,0.855384781577973,cos((sin(x1) - x0)),cos(x0 - sin(x1)),00:00:12.44,False
14,0.63114664507221,0.6905459719359682,(((x1 + x1)**((x0 - x0))) * ((x0 * x1) + (x0 / x0))),x0*x1 + 1,00:00:13.65,False
15,0.8418189697280232,0.8783410083254211,(((x0 * x1) + (x0 - x0)) + sin((x1 / x1))),x0*x1 + sin(1),00:00:16.32,False
16,0.63114664507221,0.6905459719359682,((x1 / x1) + (x1 * x0)),x0*x1 + 1,00:00:14.84,False
17,0.63114664507221,0.6905459719359682,((x1 / x1) + (x1 * x0)),x0*x1 + 1,00:00:11.53,False
18,1.0,1.0,(cos(x0) + (x0 * x1)),x0*x1 + cos(x0),00:00:00.15,True
19,0.63114664507221,0.6905459719359682,((x1 / x1) + (x0 * x1)),x0*x1 + 1,00:00:16.25,False
20,0.741180620979629,0.7776071571819466,((x1 * x0) + cos(0.308)),x0*x1 + 0.952941782085351,00:00:14.73,False
21,0.6112330954888519,0.7991299942606533,cos((x0 - x1)),cos(x0 - x1),00:00:12.14,False
22,0.7865514529953782,0.885300229947014,(cos((x1 - x0)) + 0.088),cos(x0 - x1) + 0.088,00:00:16.11,False
23,0.6112330954888519,0.7991299942606533,cos((x0 - x1)),cos(x0 - x1),00:00:19.90,False
24,1.0,1.0,((x0 * x1) + cos(x0)),x0*x1 + cos(x0),00:00:00.19,True
25,0.9845232685121084,0.9748249759442297,(cos(sin(x0)) + sin((x1 * x0))),sin(x0*x1) + cos(sin(x0)),00:00:11.19,False
26,0.6112330954888519,0.7991299942606533,cos((x1 - x0)),cos(x0 - x1),00:00:13.56,False
27,0.6112330954888519,0.7991299942606533,cos((x1 - x0)),cos(x0 - x1),00:00:12.36,False
28,0.7068988913553677,0.855384781577973,cos((sin(x1) - x0)),cos(x0 - sin(x1)),00:00:14.91,False
29,0.6112330954888519,0.7991299942606533,cos((x1 - x0)),cos(x0 - x1),00:00:15.18,False
