Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,Time,SympyEquivalence
0,0.7952093605339434,0.8521758437000061,(x0 + log(cos(sin(sin(x1))))),x0 + log(cos(sin(sin(x1)))),00:00:09.45,False
1,0.9197480152081511,0.9200320718226968,sin((sin((x0 + 0.002)) - ((x1 * x1) * cos(0.051)))),-sin(0.998699781858937*x1**2 - sin(x0 + 0.002)),00:00:12.48,False
2,0.7595539557988764,0.7893127257542437,sin((x0 - cos((cos(x1) + (x0 - -0.197))))),sin(x0 - cos(x0 + cos(x1) + 0.197)),00:00:07.80,False
3,0.742541568571189,0.7680945406979054,sin((-0.492 + x0)),sin(x0 - 0.492),00:00:12.48,False
4,0.6011854307365784,0.783473340625668,(sin(sin((sin(x0)**((x1 / x1))))) * (((x0**(x0))**((x0 - x0))) - x0)),(1 - x0)*sin(sin(sin(x0))),00:00:11.35,False
5,0.73088403757005,0.7909335993350406,sin(((x0 - 0.249) / (x0 / x0))),sin(x0 - 0.249),00:00:17.88,False
6,0.6460152060135423,0.7065975582616839,(sin(cos(x0)) + (sin(x0) - cos(x0))),sin(cos(x0)) - sqrt(2)*cos(x0 + pi/4),00:00:11.65,False
7,0.7010451711601715,0.793714850172899,(sin(log((x0 - x0))) + (x0 + 0.795)),nan,00:00:09.81,False
8,0.9878094874870539,0.9863682365921996,((0.074 + x0) - (x1 * x1)),x0 - x1**2 + 0.074,00:00:19.89,False
9,0.7881217918664967,0.8436247283670578,((x0 + -0.354) * (x1 / x1)),x0 - 0.354,00:00:12.72,False
10,0.696436103691779,0.7385111407946855,sin(sin((x0 + -0.257))),sin(sin(x0 - 0.257)),00:00:17.78,False
11,0.7866876537067053,0.8486561372392916,((x0 - 0.326)**((((x0 / x0)**((x0 * x1)))**((x0 - cos(-0.7)))))),x0 - 0.326,00:00:10.69,False
12,0.7769137464294028,0.8315903739737447,(((x0 / 0.864)**((x1 / x1))) - sin((0.679 * 0.474))),1.15740740740741*x0 - 0.316318312226083,00:00:11.96,False
13,0.9177113128871404,0.8821506231217718,((x0 - (x1 * x1)) * cos(x0)),(x0 - x1**2)*cos(x0),00:00:11.32,False
14,0.9275991058941163,0.9328905152251337,((x0 + (cos(x0) + sin(((x1 * -0.84) * x1)))) - cos(log(cos(cos((x1 + -0.579)))))),x0 - sin(0.84*x1**2) + cos(x0) - cos(log(cos(cos(x1 - 0.579)))),00:00:16.20,False
15,0.734121088225395,0.7722374959783024,(((cos((x1 + x1)) + x0) - x0) + ((x0 - cos((-0.498 - x0))) * cos((cos(x1) * cos(x0))))),(x0 - cos(x0 + 0.498))*cos(cos(x0)*cos(x1)) + cos(2*x1),00:00:09.12,False
16,0.6600061325877783,0.7289236374955994,sin((x0 - 0.139)),sin(x0 - 0.139),00:00:16.65,False
17,1.0,1.0,(x0 - (x1 * x1)),x0 - x1**2,00:00:01.46,True
18,0.7399461145539019,0.8120725140112968,(sin(x0) - 0.214),sin(x0) - 0.214,00:00:10.56,False
19,0.6229812273656374,0.7015440141528445,log((cos(0.187) + sin(x0))),log(sin(x0) + 0.982566391936591),00:00:12.12,False
20,0.7660690511815131,0.8349365696527369,log(((cos(x0) * x0) + sin(cos(((x1 * -0.36) * (x1 - x1)))))),log(x0*cos(x0) + sin(1)),00:00:17.09,False
21,0.7022752445004279,0.758805171156867,log(cos((sin(sin(x0)) - cos(cos(x1))))),log(cos(sin(sin(x0)) - cos(cos(x1)))),00:00:13.01,False
22,1.0,1.0,(x0 - (x1 * x1)),x0 - x1**2,00:00:01.67,True
23,0.7744484816438313,0.8339616937337577,(x0 + sin(sin(log(cos(sin(cos(x0))))))),x0 + sin(sin(log(cos(sin(cos(x0)))))),00:00:11.07,False
24,0.7589807653631899,0.848191015087748,(sin(x1) + ((x0 - 0.399) - x1)),x0 - x1 + sin(x1) - 0.399,00:00:11.32,False
25,0.7806545047030498,0.8496031914167494,(x0 + log(sin(sin(cos((x1 - x1)))))),x0 + log(sin(sin(1))),00:00:11.25,False
26,0.7718774905998593,0.8369248659440636,(((x0 * 0.888) - (-0.13 * x0)) + (log(0.756) / cos(x0))),1.018*x0 - 0.279713902802604/cos(x0),00:00:11.16,False
27,0.7363606362122557,0.8224740179127585,((x1 + x0) - (x1 + 0.199)),x0 - 0.199,00:00:10.39,False
28,0.8201868855611427,0.8628263381823055,((sin(-0.119) / (cos(x1) * cos(x1))) + x0),1.0*x0 - 0.118719338962435/cos(x1)**2,00:00:16.63,False
29,0.5309393595733779,0.4893329829199061,sin((cos(((x1 / (-0.74 - x0)) / cos((x0 + x1)))) + sin((x0 - cos((0.541 * -0.724)))))),sin(sin(x0 - 0.924267511414706) + cos(x1/((x0 + 0.74)*cos(x0 + x1)))),00:00:23.11,False
