Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,GenerationOfBestSolution,Time,SympyEquivalence
0,0.825499654766087,0.6087802177782335,sin((x0 + 0.232)),sin(x0 + 0.232),50,00:00:17.98,False
1,0.9821429803071055,0.9687427350877783,(sin((x1 * x1)) + (cos(x1) * x0)),x0*cos(x1) + sin(x1**2),50,00:00:13.10,False
2,0.8348867351103191,0.7618312667922542,(sin(cos((-0.58 + log(sin(cos(cos(x1))))))) + x0),x0 + sin(cos(log(sin(cos(cos(x1)))) - 0.58)),50,00:00:15.00,False
3,0.8067046744281636,0.5666989756712231,sin((0.189 + x0)),sin(x0 + 0.189),50,00:00:11.88,False
4,0.7884050283680293,0.524528914811439,(sin(x0) + sin(0.131)),sin(x0) + 0.130625639531083,50,00:00:10.50,False
5,0.9833999154123259,0.9777741541618653,((x0 - -0.005) + (x1 * x1)),x0 + x1**2 + 0.005,50,00:00:11.49,False
6,0.8158753381164408,0.6188897423253564,((0.82 + x0) - cos(-0.949)),x0 + 0.237503786008417,50,00:00:11.72,False
7,0.7508655659317724,0.44827266848804614,(sin(x0) / (cos(x1)**(x0))),sin(x0)/cos(x1)**x0,50,00:00:10.38,False
8,0.8305958356415984,0.666734484246845,sin((x0 + 0.407)),sin(x0 + 0.407),50,00:00:11.47,False
9,0.9785076140472365,0.9607018121830886,(x0 + ((0.853**(x1)) * (x1 * x1))),0.853**x1*x1**2 + x0,50,00:00:14.86,False
10,0.7718223044246806,0.5076285958569268,((x0 - -0.135) * (x0 / x0)),x0 + 0.135,50,00:00:12.71,False
11,0.8273365339562587,0.7437947100812854,(x1 * (x1 + ((x0 * x0) * (x0 / x1)))),x0**3 + x1**2,50,00:00:09.99,False
12,0.9995754862784445,0.9993548911626907,(sin(x0) + (x1 * sin(x1))),x1*sin(x1) + sin(x0),50,00:00:09.50,False
13,0.7264550081367387,0.4174692945897932,((x1 / x1) * (x0 + 0.083)),x0 + 0.083,50,00:00:11.05,False
14,0.8401449297831816,0.6726550794920769,(sin(x0) - sin(-0.287)),sin(x0) + 0.283076211006345,50,00:00:15.89,False
15,0.9840397030681152,0.9792768982540907,(x0 + (x1 * x1)),x0 + x1**2,50,00:00:16.28,False
16,0.9237458621675207,0.85157047478896,(((x0 / x0) - (-0.937 * x0)) - sin(cos(x1))),0.937*x0 - sin(cos(x1)) + 1,50,00:00:13.98,False
17,0.7118963204689445,0.5694869513398786,cos(((x1 / x1) - sin(x0))),cos(sin(x0) - 1),50,00:00:15.49,False
18,0.9860781054466645,0.9862017113718368,(x0 + (cos(x1) / (cos(x1) / (sin(x1) * x1)))),x0 + x1*sin(x1),50,00:00:17.74,False
19,0.8402464421303795,0.6722930755448583,((((x0 - x0) + sin(x0)) - ((-0.282 + x1) - (x0 - x0))) + x1),sin(x0) + 0.282,50,00:00:12.39,False
20,0.7562847504324026,0.45968672635970464,sin((x0 - log(cos(x0)))),sin(x0 - log(cos(x0))),50,00:00:11.24,False
21,0.7829807870612985,0.6315752556466059,((0.371 + x0) - (x1 - x1)),x0 + 0.371,50,00:00:11.75,False
22,0.9971039608107686,0.990350076571977,(sin(x0) + (x1 * x1)),x1**2 + sin(x0),50,00:00:23.67,False
23,0.8061824328500868,0.5655834266622247,sin((x0 - -0.188)),sin(x0 + 0.188),50,00:00:10.92,False
24,0.7583449045817087,0.5258675760097615,sin((cos((cos(0.288) + (0.147 - x0))) + log(cos((0.798 * x0))))),sin(log(cos(0.798*x0)) + cos(x0 - 1.10581386309453)),50,00:00:14.30,False
25,0.9840397030681152,0.9792768982540907,(x0 + (x1 * x1)),x0 + x1**2,50,00:00:09.73,False
26,0.7266997418617993,0.407738759239371,sin((0.08 + x0)),sin(x0 + 0.08),50,00:00:16.65,False
27,0.8614692592119371,0.6920760737048626,(sin(sin(x0)) - sin(log(sin(cos((x1 * x0)))))),-sin(log(sin(cos(x0*x1)))) + sin(sin(x0)),50,00:00:13.44,False
28,0.9034352278539786,0.8336256007542657,sin((x0 - log(cos(x1)))),sin(x0 - log(cos(x1))),50,00:00:10.02,False
29,0.9300389893425478,0.8899884342841363,sin(sin((x1 * ((x0 / x1) + sin(x1))))),sin(sin(x0 + x1*sin(x1))),50,00:00:15.06,False
