Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,GenerationOfBestSolution,Time,SympyEquivalence
0,0.621891354563525,0.737036888524748,((x0 * x0) + (x0 / 0.906)),x0*(x0 + 1.1037527593819),50,00:00:13.30,False
1,0.590894873684049,0.703864415441718,((x0 * (x0 + cos(-0.006))) + log((x0 / x0))),x0*(x0 + 0.999982000054),50,00:00:11.17,False
2,0.882557922010187,0.914834111367798,((x0 + x0) * (x0 - -0.799)),2*x0*(x0 + 0.799),50,00:00:15.48,False
3,0.733789927242431,0.718346923682035,(x0 / (cos(x0)**((x0 + x0)))),x0/cos(x0)**(2*x0),50,00:00:17.70,False
4,0.590900501245344,0.703870640907592,(x0 + (x0 * x0)),x0*(x0 + 1),50,00:00:13.61,False
5,0.835900810942853,0.817610058684643,(((x0 + x0) / cos(x0)) * sin((x0 - -0.608))),2*x0*(0.82079*tan(x0) + 0.5712),50,00:00:12.85,False
6,0.779384411589154,0.816791784903536,(((x0 * x0) + (x0 * x0)) - ((-0.217 * x0) - sin(x0))),2*x0**2 + 0.217*x0 + sin(x0),50,00:00:21.75,False
7,0.837110038170354,0.758533992219394,(((((x0 / -0.182) - (0.291 / 0.315)) * sin((x0 - -0.638))) * (log(cos(x0)) / x0)) * (x0 + x0)),-(10.989*x0 + 1.8476)*log(cos(x0))*sin(x0 + 0.638),50,00:00:11.99,False
8,0.769166693413687,0.797303807127741,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:09.80,False
9,0.717381477655305,0.819621498246052,((x0 * x0) / (x0 - ((-0.416 / x0) + (x0 / x0)))),x0**3/(x0*(x0 - 1) + 0.416),50,00:00:12.22,False
10,0.769166693413687,0.797303807127741,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:11.17,False
11,0.623252646704379,0.769896726183681,(sin(x0) / (((x0 / x0) - cos(x0))**(x0))),sin(x0)/(1 - cos(x0))**x0,50,00:00:12.85,False
12,0.789555802733979,0.810614318365064,(sin((x0 - -0.353)) + ((x0 * x0) + x0)),x0**2 + x0 + sin(x0 + 0.353),50,00:00:10.02,False
13,0.885750570904309,0.848967440974825,log(((x0 + (x0 - (x0 * 0.617))) / (x0 - (x0 * x0)))),log(-1/(x0 - 1)) + 0.32425,50,00:00:16.29,False
14,0.990678804857072,0.985984681416326,(x0 / (cos(log(0.302))**((x0 / cos(x0))))),2.74087**(x0/cos(x0))*x0,50,00:00:13.05,False
15,0.776023569082643,0.833563745430623,((sin(x0) + sin(x0)) + ((x0 - -0.045) * (x0 / 0.862))),1.16009*x0*(x0 + 0.045) + 2*sin(x0),50,00:00:14.61,False
16,0.944474464089629,0.861662462426941,((x0 - -0.705) / ((0.31 / x0) / (x0 * x0))),X0**3*(3.2258*x0 + 2.27419),50,00:00:12.62,False
17,0.916275473601739,0.903524070620821,(((x0 + x0) * x0) + (x0 + x0)),2*x0*(x0 + 1),50,00:00:12.86,False
18,0.876734926320188,0.919438144659907,(((x0 + x0) + (x0 * x0)) + (sin(x0) * (x0 - 0.406))),x0**2 + 2*x0 + (x0 - 0.406)*sin(x0),50,00:00:11.95,False
19,0.685128832936609,0.77206217192461,((x0 / (x0 / x0)) - ((x0 * x0) / (-0.07 + -0.613))),X0*(1.464128*x0 + 1),50,00:00:08.92,False
20,0.769166693413687,0.797303807127741,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),50,00:00:22.15,False
21,0.666889371365425,0.784765495824994,((sin((x0 - x0)) + ((x0 * x0) - (x0 * -0.411))) + sin(x0)),x0**2 + 0.411*x0 + sin(x0),50,00:00:17.51,False
22,0.907750471400488,0.801161907631598,((x0 * x0) / ((x0 / x0) - sin(x0))),-x0**2/(sin(x0) - 1),50,00:00:20.33,False
23,0.590900501245344,0.703870640907592,((x0 * x0) + x0),x0*(x0 + 1),50,00:00:13.94,False
24,0.769166693413687,0.797303807127741,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:16.34,False
25,0.67605340040806,0.784186236845013,(x0 + (sin(x0) * (sin(0.578) + x0))),x0 + (x0 + 0.54635)*sin(x0),50,00:00:14.29,False
26,0.590900501245344,0.703870640907592,((x0**((x0 / x0))) * ((x0 / x0) + x0)),x0*(x0 + 1),50,00:00:13.79,False
27,0.701202032867948,0.877048728443947,(sin(x0) + ((x0 / x0) / ((cos(x0)**(x0)) + (cos(x0) - x0)))),sin(x0) + 1/(-x0 + cos(x0) + cos(x0)**x0),50,00:00:11.94,False
28,0.550752078118637,0.667909445509358,((x0 * x0) + sin(x0)),x0**2 + sin(x0),50,00:00:14.26,False
29,0.550752078118637,0.667909445509358,(sin(x0) + (x0 * x0)),x0**2 + sin(x0),50,00:00:11.71,False
