Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,Time,SympyEquivalence
0,0.5986400233079889,0.6525499272095847,((x0 + x1) / cos(x1)),(x0 + x1)/cos(x1),00:00:07.93,False
1,0.6607299882641808,0.7852342644245431,((x0 + x1) * (x0 / x0)),x0 + x1,00:00:09.28,False
2,0.8027915966387935,0.6294538824634421,(sin(x0) + (x1 + 0.56)),x1 + sin(x0) + 0.56,00:00:12.57,False
3,0.7860695707058938,0.7774040731566882,(sin((0.407 + x1)) + x0),x0 + sin(x1 + 0.407),00:00:06.26,False
4,0.7207188127399391,0.7554936532396554,((x1 / 0.702) + (x0 - -0.164)),x0 + 1.42450142450142*x1 + 0.164,00:00:06.79,False
5,0.7426678297922784,0.8608719347413647,(((x1 + x0) * cos(0.501)) * (cos(-0.144) - (-0.339 * x1))),0.877102697640428*(x0 + x1)*(0.339*x1 + 0.989649903525112),00:00:07.60,False
6,0.8117866652030913,0.850540942258426,((x0 * 0.88) - (-0.211 - x1)),0.88*x0 + x1 + 0.211,00:00:11.37,False
7,0.6607299882641808,0.7852342644245431,((x0 + x0) - (x0 - x1)),x0 + x1,00:00:07.44,False
8,0.6639548560183202,0.7850122849285552,((x0 + x1) - (x1 * x0)),-x0*x1 + x0 + x1,00:00:07.20,False
9,0.762322409494317,0.5846716060976014,((x0 * x0) + (x0 + x1)),x0**2 + x0 + x1,00:00:09.94,False
10,0.6959485737964911,0.8093010656361167,((-0.43 * -0.078) + (x0 + x1)),x0 + x1 + 0.03354,00:00:06.44,False
11,0.730893210486637,0.4803278150235606,((0.667 + x0) + sin(x1)),x0 + sin(x1) + 0.667,00:00:09.46,False
12,0.880614571267679,0.8510193654724768,((x1 + (x1 * x1)) + (x0 + (-0.31 * -0.916))),x0 + x1**2 + x1 + 0.28396,00:00:07.52,False
13,0.9050883103104141,0.9398863837665528,(((0.488 * x1)**((x1 - x1))) + ((x0 + x1) - cos(x1))),x0 + x1 - cos(x1) + 1,00:00:07.32,False
14,1.0,1.0,((x1 + x0) + (x1 * x1)),x0 + x1**2 + x1,00:00:00.19,True
15,0.7067847896857962,0.7752721002152113,sin(((x1 + x0) - (x0 * x1))),sin(-x0*x1 + x0 + x1),00:00:08.60,False
16,0.7390106771591791,0.4898974208202054,((x0 + x1) + 0.663),x0 + x1 + 0.663,00:00:10.73,False
17,0.6607299882641808,0.7852342644245431,((x0 / x0) * (x0 + x1)),x0 + x1,00:00:07.51,False
18,0.9461034266790166,0.9753623031014496,(((x0 - x0) + (x1 * x1)) + sin((x1 + x0))),x1**2 + sin(x0 + x1),00:00:06.30,False
19,0.8012597077445658,0.863382415822648,((x0 + x1) - -0.164),x0 + x1 + 0.164,00:00:07.21,False
20,0.816760257250015,0.866720031588963,((x1 + x0) + (0.279 + -0.088)),x0 + x1 + 0.191,00:00:07.02,False
21,0.8724252132082693,0.9355523658079625,(sin((x0 + x1)) - log(cos(x1))),-log(cos(x1)) + sin(x0 + x1),00:00:09.14,False
22,0.6607299882641808,0.7852342644245431,((x1 * (x1 + x0)) / x1),x0 + x1,00:00:07.52,False
23,0.7875690517730082,0.8188947204087548,(x0 - sin((-0.327 - x1))),x0 + sin(x1 + 0.327),00:00:06.63,False
24,0.8638830484003432,0.8343668376294885,((x0 + x1) + sin(0.352)),x0 + x1 + 0.344775865833263,00:00:06.64,False
25,0.6607299882641808,0.7852342644245431,((x0 + x1) * (x1 / x1)),x0 + x1,00:00:08.64,False
26,0.6607299882641808,0.7852342644245431,((x1 + x0)**((x1 / x1))),x0 + x1,00:00:06.71,False
27,0.826104903459433,0.8674513313719047,(x0 - (sin(-0.211) - x1)),x0 + x1 + 0.209437826367877,00:00:08.43,False
28,0.9400876615869043,0.9753578275521633,(sin((x1 * x1)) + sin((x0 + x1))),sin(x1**2) + sin(x0 + x1),00:00:06.85,False
29,0.5986400233079889,0.6525499272095847,((x0 + x1) / cos(x1)),(x0 + x1)/cos(x1),00:00:07.55,False
