Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,Time,SympyEquivalence
0,0.877863875386201,0.882592096999266,((x0 + (x0 * x0)) / (cos(x0)**(x0))),x0*(x0 + 1)/cos(x0)**x0,00:00:20.29,False
1,0.929440898221852,0.957801481811047,((((sin(x0) + sin(x0)) - log(cos(x0))) / (cos((0.635 * 0.324)) - sin(sin(x0)))) * cos(cos((sin(x0) + (-0.553 / x0))))),(log(cos(x0)) - 2*sin(x0))*cos(cos(sin(x0) - 0.553/x0))/(sin(sin(x0)) – 0.9789),00:00:20.90,False
2,0.902994068419385,0.916155444157661,((x0 * (x0 + x0)) * ((x0 / x0) + (x0 + x0))),x0**2*(4*x0 + 2),00:00:18.33,False
3,0.919408261368117,0.864158787221666,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),00:00:26.36,False
4,0.712892009039845,0.606335937695873,((x0 + (x0 * sin(x0))) * (x0 / x0)),x0*(sin(x0) + 1),00:00:15.79,False
5,0.729532984260219,0.635501774954023,((x0 * x0) + x0),x0*(x0 + 1),00:00:20.12,False
6,0.750391106394499,-2.56706637643514,(x0 / cos(((x0 - x0) - (0.541 + x0)))),x0/cos(x0 + 0.541),00:00:18.90,False
7,0.690335325894769,0.643785419402487,(sin(x0) - log(cos((sin(x0) * (x0 + cos((x0 / x0))))))),-log(cos((x0 + cos(1))*sin(x0))) + sin(x0),00:00:20.05,False
8,0.909035585500368,0.842764378256589,(x0 + (sin((x0 * x0)) + x0)),2*x0 + sin(x0**2),00:00:18.96,False
9,0.902932687534777,0.817072688183402,((x0 * x0) - log((0.192**(x0)))),x0**2 - log(0.192**x0),00:00:19.93,False
10,0.919408261368117,0.864158787221666,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),00:00:19.78,False
11,0.937954112552204,0.938856296014699,(((x0 + x0) * sin(x0)) + (x0 + x0)),2*x0*(sin(x0) + 1),00:00:19.30,False
12,0.919484655902552,0.872618521183479,(cos((x0 * x0)) * ((x0 + x0) / (0.391**(x0)))),2*2.5575**x0*x0*cos(x0**2),00:00:19.29,False
13,0.919408261368117,0.864158787221666,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),00:00:22.64,False
14,0.970650155874909,0.945987769616154,(log(((x0 / x0) - x0)) / -0.6),-1.6667*log(1 - x0),00:00:27.94,False
15,0.768374232970282,0.641041141858957,(x0 / (((x0 * x0) - x0) + cos(x0))),x0/(x0**2 - x0 + cos(x0)),00:00:20.56,False
16,0.974089562689796,0.980890739944617,((x0 / ((cos(x0) / cos(0.542))**(x0))) / ((x0 / ((x0 / 0.235) - sin(x0)))**(x0))),X0/((1.16729*cos(x0))**x0*(x0/(4.2553*x0 - sin(x0)))**x0),00:00:19.14,False
17,0.68489551964337,0.585349982538683,(sin(x0) + (x0 * x0)),x0**2 + sin(x0),00:00:23.77,False
18,0.729532984260219,0.635501774954023,((x0 * x0) + x0),x0*(x0 + 1),00:00:27.62,False
19,0.878564458343357,0.833717508390585,(((x0 * x0) + x0) / cos(sin(x0))),x0*(x0 + 1)/cos(sin(x0)),00:00:16.73,False
20,0.827688642321184,0.881374845224362,log((x0 / (x0 - (x0 * x0)))),log(-1/(x0 - 1)),00:00:25.88,False
21,0.860117275303622,0.886203948983937,(((x0 * x0) + x0) * ((x0 - x0) + (x0 + x0))),2*x0**2*(x0 + 1),00:00:21.70,False
22,0.919408261368117,0.864158787221666,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),00:00:18.37,False
23,0.919408261368117,0.864158787221666,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),00:00:20.20,False
24,0.729532984260219,0.635501774954023,(x0 + (x0 * x0)),x0*(x0 + 1),00:00:17.51,False
25,0.913961214140538,0.856042687832919,(sin(sin(x0)) + (sin(x0) + (x0 * (((x0 * x0) / sin(x0)) - sin((0.328 + -0.494)))))),1.0*x0**3/sin(x0) + 0.16524*x0 + 1.0*sin(x0) + 1.0*sin(sin(x0)),00:00:24.84,False
26,0.919408261368117,0.864158787221666,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),00:00:18.86,False
27,0.753923935647288,0.646987478361597,(((x0 * x0)**(cos(x0))) + x0),x0 + (x0**2)**cos(x0),00:00:17.83,False
28,0.918173786047369,0.94114866249249,(sin(0.044)**((0.514 - x0))),0.043986**(0.514 - x0),00:00:24.16,False
29,0.729532984260219,0.635501774954023,(x0 + (x0 * x0)),x0*(x0 + 1),00:00:18.20,False
