Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,GenerationOfBestSolution,Time,SympyEquivalence
0,0.934325404509397,0.8656765755013893,(((x0 + x0) + (x0 * x0)) + ((x0 - x0)**((x0 / x0)))),x0*(x0 + 2),50,00:00:23.82,False
1,0.9292283326737161,0.9215561736799325,(((((-0.907 / x0)**((x0 - x0))) + x0) - cos(x0)) + x0),2*x0 - cos(x0) + 1,50,00:00:14.76,False
2,0.9061815633921306,0.8806010830786654,sin(((x0 / ((x0 * x0)**(x0))) + sin(x0))),sin(x0/(x0**2)**x0 + sin(x0)),50,00:00:12.88,False
3,0.934325404509397,0.8656765755013893,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:14.77,False
4,0.942043108515729,0.8908486887059379,((x0 + x0) + sin((x0 * x0))),2*x0 + sin(x0**2),50,00:00:13.25,False
5,0.9166332529763935,0.9211557185357739,(((x0 - cos(sin(x0))) + (x0 / x0)) + x0),2*x0 - cos(sin(x0)) + 1,50,00:00:09.13,False
6,0.9499149543541722,0.895472706492139,(((x0 + 0.019) + sin(x0)) - ((x0 - x0) - (x0 * x0))),x0**2 + x0 + sin(x0) + 0.019,50,00:00:12.73,False
7,0.934325404509397,0.8656765755013893,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),50,00:00:08.69,False
8,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:11.05,False
9,0.934325404509397,0.8656765755013893,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:13.99,False
10,0.934325404509397,0.8656765755013893,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),50,00:00:11.44,False
11,0.934325404509397,0.8656765755013893,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),50,00:00:12.93,False
12,0.9563734697266736,0.9599323502284841,(sin((x0 + x0)) + (cos(x0) * (x0 * x0))),(x0**2 + 2*sin(x0))*cos(x0),50,00:00:11.22,False
13,0.934325404509397,0.8656765755013893,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:18.43,False
14,0.913044609343779,0.9335986244130483,((x0 - -0.142) + sin(x0)),x0 + sin(x0) + 0.142,50,00:00:15.03,False
15,0.934325404509397,0.8656765755013893,(((x0 + x0) + (x0 * x0)) - sin((x0 - x0))),x0*(x0 + 2),50,00:00:13.12,False
16,0.934325404509397,0.8656765755013893,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:14.38,False
17,0.934325404509397,0.8656765755013893,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:11.13,False
18,0.942043108515729,0.8908486887059379,((x0 + x0) + sin((x0 * x0))),2*x0 + sin(x0**2),50,00:00:10.57,False
19,0.8972174173818681,0.869267767671368,(sin((x0 - x0)) + sin((x0 + x0))),sin(2*x0),50,00:00:15.23,False
20,0.935911290721868,0.8826110376583194,(((sin(sin(sin(0.647))) / 0.265) * x0) + sin((x0 * x0))),2.02663993159528*x0 + sin(x0**2),50,00:00:15.32,False
21,0.934325404509397,0.8656765755013893,((x0 + x0) + (x0 * x0)),x0*(x0 + 2),50,00:00:12.00,False
22,0.8972174173818681,0.869267767671368,sin((x0 + x0)),sin(2*x0),50,00:00:12.32,False
23,0.934325404509397,0.8656765755013893,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),50,00:00:14.94,False
24,0.9681002361928742,0.9706700700906755,(x0 / cos(cos((x0 + -0.52)))),x0/cos(cos(x0 - 0.52)),50,00:00:12.76,False
25,0.8972174173818681,0.869267767671368,sin(((x0 + x0) + (x0 - x0))),sin(2*x0),50,00:00:10.28,False
26,0.934325404509397,0.8656765755013893,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),50,00:00:10.70,False
27,0.9381495812981817,0.9150805078263398,(((x0 + x0)**((x0 / x0))) - log(cos(x0))),2*x0 - log(cos(x0)),50,00:00:20.38,False
28,0.934325404509397,0.8656765755013893,((x0 * x0) + (x0 + x0)),x0*(x0 + 2),50,00:00:15.42,False
29,0.8703117601302571,0.8427685843940518,sin(((x0 + x0) * cos(x0))),sin(2*x0*cos(x0)),50,00:00:13.18,False
