Run,TrainR2Score,TestR2Score,BestIndividual,BestIndividualSimplified,GenerationOfBestSolution,Time,SympyEquivalence
0,0.6623322900064874,0.6965900667347349,((x0 + 0.394) + (-0.909 * cos(x0))),x0 - 0.909*cos(x0) + 0.394,50,00:00:08.95,False
1,0.33498587325460694,0.4137665672006533,(log((((x1 / x1)**((sin(x0) - (x0 + x1))))**((cos((x1**(x0))) * cos(log(x1)))))) + sin(x0)),sin(x0),50,00:00:10.71,False
2,0.6807297766424092,0.6724667225866627,(cos(x1) - (cos(x0)**((cos(cos(0.834)) / x0)))),-cos(x0)**(0.782628773210692/x0) + cos(x1),50,00:00:11.30,False
3,0.49732596897786974,0.5385969603597827,(sin(x0) - (x0 * x0)),-x0**2 + sin(x0),50,00:00:09.98,False
4,0.875926233464844,0.881961993421455,(log(cos(x1)) + x0),x0 + log(cos(x1)),50,00:00:14.86,False
5,0.7599186722021842,0.7754149165174662,(sin((x1 * (x0 - x1))) + sin(x0)),sin(x0) + sin(x1*(x0 - x1)),50,00:00:11.62,False
6,0.7291173334177756,0.7389612906137453,sin(((x0 / cos(x0)) + log(cos(x1)))),sin(x0/cos(x0) + log(cos(x1))),50,00:00:12.10,False
7,0.6941592949145932,0.7227617549407638,((x0 + -0.316) - (x0 - x0)),x0 - 0.316,50,00:00:15.17,False
8,0.7557636229145368,0.7129532654425151,((0.369 * x0) - (x1 * x1)),0.369*x0 - x1**2,50,00:00:21.93,False
9,0.5952836779155302,0.6372936991280249,(log(sin((cos((x1 - x1))**(cos(x1))))) + (x0 - (x0 - x0))),x0 + log(sin(1)),50,00:00:11.63,False
10,0.6989665738166646,0.7217486777042197,((x0 + 0.022) + log(0.653)),x0 - 0.404178149705706,50,00:00:14.82,False
11,0.7698211387048653,0.7904798091341783,(sin(cos(log((cos(x1) * sin(0.229))))) + sin(x0)),sin(x0) + sin(cos(log(cos(x1)) - 1.48278877126794)),50,00:00:14.31,False
12,0.7547955439942841,0.7965455730872101,(log(cos(x1)) + ((-0.46 + x0) * cos(x0))),(x0 - 0.46)*cos(x0) + log(cos(x1)),50,00:00:18.16,False
13,0.6751981500158364,0.6905787766248619,((x0 - 0.452) / ((x0 - x0) + cos(0.225))),1.02585765829755*x0 - 0.463687661550494,50,00:00:10.77,False
14,0.9058776258013179,0.9023311058102536,((x0 + (cos(x0) + sin(((x1 * -0.84) * x1)))) - cos(log(cos(cos((x1 + -0.579)))))),x0 - sin(0.84*x1**2) + cos(x0) - cos(log(cos(cos(x1 - 0.579)))),50,00:00:09.63,False
15,0.5336323410376498,0.6145782019396557,(sin(x0) + log(cos(x0))),log(cos(x0)) + sin(x0),50,00:00:09.08,False
16,0.901102853764639,0.914043034202743,sin((x0 - (sin(sin(x1)) * x1))),sin(x0 - x1*sin(sin(x1))),50,00:00:10.02,False
17,0.8479434054252128,0.8966738420212726,((x0 - (x1 / (sin(cos(cos(-0.15)))**(x1)))) + sin(x1)),1.91407407042019**x1*(0.522445821430764**x1*(x0 + sin(x1)) - x1),50,00:00:10.19,False
18,0.6790308191100198,0.6896704280056516,((0.898**(x1)) * (-0.26 + x0)),0.898**x1*(x0 - 0.26),50,00:00:14.48,False
19,0.7799370920992039,0.82321277866598,((x0 + log(cos(x1))) / (cos(x0)**(((x1 * x1) + (-0.365 - x1))))),(x0 + log(cos(x1)))*cos(x0)**(-x1**2 + x1 + 0.365),50,00:00:13.53,False
20,0.6086406928354962,0.6614313651989501,(sin((-0.213 + x0)) / ((x0**(x0))**((x0 - x0)))),sin(x0 - 0.213),50,00:00:10.20,False
21,0.5133489400366761,0.5565434472750113,(x0 - sin((x0 * x0))),x0 - sin(x0**2),50,00:00:12.03,False
22,0.9204151832915569,0.9221609172719478,(x0 - ((x1 / sin(x1)) - sin(cos(x1)))),x0 - x1/sin(x1) + sin(cos(x1)),50,00:00:11.47,False
23,0.7008410884166343,0.7243173834860508,(((x0 / x0) * ((x0 / x0) / log(0.078))) + x0),x0 - 0.391995997995776,50,00:00:10.64,False
24,0.4749914432744037,0.5265555323589555,log((log(cos(x0)) + (x0 + ((x0 / cos(x0)) / x0)))),log(x0 + log(cos(x0)) + 1/cos(x0)),50,00:00:10.75,False
25,0.5554359828604465,0.6111668745273513,((-0.133 + x0) + (-0.181 * x0)),0.819*x0 - 0.133,50,00:00:11.20,False
26,0.6732808546328581,0.7322591495624382,((x0 * cos(sin(x0))) - 0.451),x0*cos(sin(x0)) - 0.451,50,00:00:17.44,False
27,0.5538029236421513,0.5702390877641091,(x0 - cos((-0.552 - 0.372))),x0 - 0.602632912094937,50,00:00:12.39,False
28,0.6769653996168216,0.5057939180149613,log((cos(x1) / (sin(cos(cos(x1)))**((x0 + x1))))),log(sin(cos(cos(x1)))**(-x0 - x1)*cos(x1)),50,00:00:10.72,False
29,0.875926233464844,0.881961993421455,(log(cos(x1)) + x0),x0 + log(cos(x1)),50,00:00:22.51,False
