Run,TrainR2Score,TestR2Score,BestIndividual,GenerationOfBestSolution,Time,SympyEquivalence
0,0.772260056841668,0.9540941446230552,(x1 - (((sin(sin((x0 - x1))) - x0) + x0) * x0)),50,00:00:15.37,False
1,0.9909412221934136,0.9918740407851395,((x0 * x1) + sin(x1)),50,00:00:15.61,False
2,1.0,1.0,((x0 * x1) + x1),3,00:00:04.23,True
3,1.0,1.0,(x1 + (x1 * x0)),1,00:00:03.50,True
4,0.6795523584463936,0.7313125844527456,(x1 * cos(x0)),50,00:00:15.09,False
5,0.9574512104474803,0.9751076688448891,(x1 * (cos(x0) + x0)),50,00:00:12.20,False
6,0.8445124883217002,0.8437173800133977,sin(sin((x1 * (sin(x0) + (cos(x0)**((x0 * x0))))))),50,00:00:12.19,False
7,0.6098326340165927,0.558027036367474,(sin((x1 - x0)) + x0),50,00:00:14.30,False
8,0.7262419861591878,0.8047727016469695,sin((((x0 * sin(sin(((-0.203 / x1) * (x0 * -0.545))))) * x0) + x1)),50,00:00:12.74,False
9,0.9958522309008742,0.9964501726287777,((x0 * x1) + (x1 / 0.932)),50,00:00:14.60,False
10,1.0,1.0,(x1 + ((x1 * x0) * (x1 / x1))),4,00:00:04.87,True
11,0.6815474283844549,0.6393432231704863,(((sin(x1) - sin(x0)) + sin(sin(x0))) / (cos((0.415 + x0))**(0.856))),50,00:00:13.54,False
12,1.0,1.0,((x0 * x1) + (x1 * (x1 / x1))),11,00:00:06.15,True
13,0.8904135945177349,0.9000215247004364,sin(((cos(x0) * (x0 * x1)) + x1)),50,00:00:15.53,False
14,0.9226823782280402,0.9305991186786311,(x1 * (cos(x1) + x0)),50,00:00:14.27,False
15,1.0,1.0,((x0 * x1) + x1),39,00:00:11.66,True
16,0.9968085465148597,0.9972686259372728,((x1 / x1) * (x1 * (x0 + 0.936))),50,00:00:12.82,False
17,0.987532810412177,0.9866445025998803,(((x0 / 0.726) * (x1 * 0.643)) + sin(x1)),50,00:00:15.08,False
18,0.9936256337587972,0.9958423021481821,(x1 + sin(sin((x0 * x1)))),50,00:00:13.74,False
19,0.753659282947547,0.8611571756340285,(x1 / cos(cos(((x0 * x0)**(x0))))),50,00:00:13.23,False
20,0.6795523584463936,0.7313125844527456,(x1 * cos(x0)),50,00:00:12.82,False
21,0.9226823782280402,0.9305991186786311,((x0 + cos(x1)) * x1),50,00:00:13.33,False
22,0.6795523584463936,0.7313125844527456,(x1 * cos(x0)),50,00:00:13.78,False
23,0.6795523584463936,0.7313125844527456,(x1 * cos(x0)),50,00:00:14.61,False
24,0.9882264926569172,0.9873861693469571,(sin(x1) - ((x0 * x1) / log(0.328))),50,00:00:16.22,False
25,0.9574512104474803,0.9751076688448891,(((cos(x0) + x0) / x0) * (x0 * x1)),50,00:00:13.94,False
26,0.6551752565158498,0.694824866117623,(sin(x1) * cos(x0)),50,00:00:18.77,False
27,1.0,1.0,(x1 + (x1 * x0)),11,00:00:06.37,True
28,0.9909412221934136,0.9918740407851395,(sin(x1) + (x0 * x1)),50,00:00:13.81,False
29,1.0,1.0,(x1 + (x1 * x0)),44,00:00:11.09,True
