Run,TrainR2Score,TestR2Score,BestSolution,BestSolutionSimplified,IterationOfBestSolution,Time,SympyEquivalence
0,0.5335714842184685,0.38106731848149566,sin(((x0 + x0) * cos(cos((x0 + x0))))),sin(2*x0*cos(cos(2*x0))),403,00:00:06.71,False
1,0.9206577615594822,0.9487358933270353,log(((((x0 + x0) + (x0 * x0)) / x0)**((((x0 + x0) + (x0 * x0)) + (x0 * x0))))),log((x0 + 2)**(2*x0*(x0 + 1))),860,00:00:06.99,False
2,0.9948434282903041,0.9948200805789188,((((((0.559 + x0) * x0) * ((-0.062 - -0.877)**(cos(x0)))) + x0) * ((0.559 + x0) * sin((x0 / x0)))) + (((((x0 + x0) * x0) * ((-0.062 - -0.877)**(cos(-0.877)))) * x0) * ((-0.062 - -0.877)**(cos(-0.062))))),x0*(1.43069515266453*x0**2 + (x0 + 0.559)*(0.815**cos(x0)*(x0 + 0.559) + 1)*sin(1)),300,00:00:16.48,False
3,0.5573174049053224,0.39678454449295986,sin(((cos(((x0 * x0) + x0)) * (x0 * x0)) + (x0 + ((x0 * x0) * x0)))),sin(x0*(x0**2 + x0*cos(x0*(x0 + 1)) + 1)),710,00:00:07.35,False
4,0.9904273237422402,0.9956360247828112,((x0 * (cos(cos(x0)) + (cos(cos(x0)) + x0))) / cos(x0)),x0*(x0 + 2*cos(cos(x0)))/cos(x0),794,00:00:16.58,False
5,0.6767679017924715,0.5770303790771749,log((sin(log(cos((x0 - x0)))) + (((x0 - (x0 - x0)) + (x0 - (x0 - x0))) + (sin((x0 * x0)) + ((x0 * x0) + (x0 / x0)))))),log(x0**2 + 2*x0 + sin(x0**2) + 1),186,00:00:07.59,False
6,0.5628572989140139,0.5154555574286006,log(((((x0 * x0) + x0) / ((-0.218 * x0) + x0)) / cos(x0))),log((1.27877237851662*x0 + 1.27877237851662)/cos(x0)),904,00:00:07.51,False
7,0.9887702539409462,0.9780873955905127,((x0 / 0.5) / (sin(cos(0.5)) - (x0 - cos(x0)))),2.0*x0/(-x0 + cos(x0) + 0.769196354841008),87,00:00:16.30,False
8,1.0,1.0,(((x0 * x0) * ((((x0 * x0) + x0) * x0) + x0)) + ((x0 * x0) + x0)),x0*(x0**2*(x0*(x0 + 1) + 1) + x0 + 1),615,00:00:09.74,True
9,0.8810181045578632,0.8977837009861832,log(((((x0 / x0) / sin(x0)) - ((sin(x0) / (x0 / x0)) - x0)) / (((x0 / x0) / x0) - (x0 / x0)))),log((x0 - sin(x0) + 1/sin(x0))/(-1 + 1/x0)),255,00:00:07.04,False
10,0.6821383931948248,0.5709045850238736,log((((cos(cos(x0)) * ((x0 + x0) / x0)) / cos(cos(cos(x0)))) + ((x0 + x0) + (x0 - x0)))),log(2*x0 + 2*cos(cos(x0))/cos(cos(cos(x0)))),851,00:00:08.72,False
11,0.543430198941881,0.3666043379650026,cos(((cos(x0) - x0) / -0.687)),cos(1.45560407569141*x0 - 1.45560407569141*cos(x0)),267,00:00:08.63,False
12,0.978068639197065,0.9873269110907311,((((x0 + (x0 * x0)) * x0) + x0) / cos(cos(cos(x0)))),x0*(x0*(x0 + 1) + 1)/cos(cos(cos(x0))),882,00:00:16.28,False
13,0.7879881789068297,0.821534191211293,log((((((x0 * x0) + x0) + ((x0 + x0) + (x0 * x0))) + (x0 * x0)) / sin(sin(((x0 + x0) + (x0 * x0)))))),log(x0*(x0 + 1)/sin(sin(x0*(x0 + 2)))) + log(3),323,00:00:07.40,False
14,0.9923130525743354,0.9942251257719169,((((x0 * x0) + x0) * ((x0 * x0) + x0)) + (((x0 / x0)**(x0)) * x0)),x0*(x0*(x0 + 1)**2 + 1),894,00:00:22.37,False
15,0.6956898048473183,0.6093377353800153,log((((sin(x0) + (sin(x0) + (x0 / x0))) + (x0 * x0)) + (((x0 * x0) * x0) + (x0 * x0)))),log(x0**3 + 2*x0**2 + 2*sin(x0) + 1),599,00:00:09.20,False
16,0.9923130525743354,0.9942251257719169,((x0 + (x0 * x0)) + (x0 * (x0 * (x0 + (x0 + (x0 * x0)))))),x0*(x0**2*(x0 + 2) + x0 + 1),571,00:00:17.98,False
17,0.5519166563943807,0.38814346344114103,sin(((sin(sin(x0)) * sin(sin(x0))) + ((x0 * x0) / sin(sin(x0))))),sin((x0**2 + sin(sin(x0))**3)/sin(sin(x0))),319,00:00:06.51,False
18,0.9084469227628874,0.9167932991992085,log((cos((x0 / sin(sin(x0))))**(((cos((x0 / x0)) - (sin(x0) + x0)) - (x0 / sin(x0)))))),log(cos(x0/sin(sin(x0)))**(-x0 - x0/sin(x0) - sin(x0) + cos(1))),802,00:00:07.55,False
19,0.8446638246032988,0.8540879380040831,log(((x0 / x0) / ((x0 / x0) - x0))),log(1/(1 - x0)),93,00:00:07.25,False
20,0.9816617559002256,0.956699742146522,(((x0 / (0.756**(x0))) / (0.756**(x0))) / cos((x0 / (0.756**(x0))))),1.74967106184037**x0*x0/cos(1.32275132275132**x0*x0),898,00:00:18.27,False
21,0.552946467438859,0.39376891324691743,sin((sin(x0) * ((sin(x0) + cos(x0)) + cos(cos(x0))))),sin((sqrt(2)*sin(x0 + pi/4) + cos(cos(x0)))*sin(x0)),354,00:00:07.37,False
22,0.8203105944841769,0.9053195479485969,log((((x0 + x0) * ((x0 + x0) / 0.271))**((0.271 + x0)))),log((14.760147601476*x0**2)**(x0 + 0.271)),680,00:00:07.21,False
23,0.5365172817945547,0.34885609036919996,sin(((x0 * (x0 * (x0 - -0.394))) + x0)),sin(x0*(x0*(x0 + 0.394) + 1)),203,00:00:08.27,False
24,0.7619300305204135,0.7994160143191039,log((((x0 + x0) / x0)**(((((x0 + x0) / x0)**((x0 + x0))) + x0)))),log(2**(2**(2*x0) + x0)),455,00:00:06.92,False
25,0.6352197293751942,0.5984665383742347,log((cos((-0.126 / -0.811)) / ((-0.126 / -0.811)**(x0)))),log(6.43650793650794**x0) - 0.0121178151632259,967,00:00:06.88,False
26,0.535103812093644,0.3878777231512357,sin(((sin(sin(sin(x0))) - -0.164) + sin(x0))),sin(sin(x0) + sin(sin(sin(x0))) + 0.164),171,00:00:08.18,False
27,1.0,1.0,((((x0 * x0) + x0) * x0) + ((x0 * (((x0 * x0) + x0) * (x0 * x0))) + x0)),x0*(x0**3*(x0 + 1) + x0*(x0 + 1) + 1),133,00:00:03.42,True
28,0.996939516894159,0.9866877609437164,((x0 * x0) / sin((x0 - sin(sin((x0 * x0)))))),x0**2/sin(x0 - sin(sin(x0**2))),490,00:00:20.87,False
29,0.9962903396232352,0.9983629029612642,(((((x0 * x0) * cos((x0 * x0))) + (((x0 / x0)**((x0 / x0))) * x0)) * ((((x0 * x0) * log(0.792)) / cos(x0)) / cos(x0))) / (((x0 * x0) * log(0.792)) / (cos(x0) / cos(x0)))),1.0*x0*(x0*cos(x0**2) + 1)/cos(x0)**2,469,00:00:20.62,False
