Run,TrainR2Score,TestR2Score,BestSolution,BestSolutionSimplified,IterationOfBestSolution,Time,SympyEquivalence
0,0.9800450992684709,0.9405135912303384,log(((((x0 + x0) / x0)**((x0 + x0)))**((((x0 + x0) / x0)**((x0 + x0)))))),log((2**(2*x0))**(2**(2*x0))),732,00:00:08.88,False
1,0.9368836960029301,0.9014249258278909,log((cos((-0.561 - x0))**((-0.561 - x0)))),log(cos(x0 + 0.561)**(-x0 - 0.561)),753,00:00:09.65,False
2,0.664654496904246,0.6585405915378768,log(((((x0 + x0) / x0)**((x0 + (x0 + x0)))) / cos(x0))),log(8**x0/cos(x0)),976,00:00:07.25,False
3,0.7857022860267385,0.7296440297209661,log(((0.973 / (0.973 - x0)) * (0.973 / (0.973 - x0)))),log(0.946729/(0.973 - x0)**2),848,00:00:07.98,False
4,0.5793954750890526,0.6630188399334916,log((((((0.89 + x0) + (x0 * x0)) + x0) + (0.89 + x0)) + (x0 * x0))),log(2*x0**2 + 3*x0 + 1.78),988,00:00:07.35,False
5,1.0,1.0,(((x0 + (x0 * x0)) + (x0 * (x0 * (x0 + (x0 * x0))))) + (x0 * ((x0 * (x0 + (x0 * x0))) * (x0 * x0)))),x0*(x0**4*(x0 + 1) + x0**2*(x0 + 1) + x0 + 1),666,00:00:12.47,True
6,0.9789252123458728,0.9612253259924193,(((cos(x0) - x0) + (x0 + x0)) * (((x0 - log(cos(x0))) - log(cos(x0))) / cos(x0))),(x0 - 2*log(cos(x0)))*(x0 + cos(x0))/cos(x0),490,00:00:16.60,False
7,0.997409322467448,0.9953086876854741,((x0 + ((x0 * (x0 + (x0 * x0))) * x0)) * (x0 + cos((x0 - x0)))),x0*(x0 + 1)*(x0**2*(x0 + 1) + 1),723,00:00:17.37,False
8,0.5525970653613237,0.6419241091874412,log((0.597**((((0.597 + 0.597) - ((0.597 + 0.597) + x0)) - ((0.597 + x0) + x0))))),log(4.69977434926419**x0) + 0.307955384856952,407,00:00:08.34,False
9,0.66088412306281,0.5426243920406045,log((0.408**((((0.408 * x0) - cos(0.408)) - (((0.408 * x0) / 0.408) / 0.408))))),log(0.408**(-2.04298039215686*x0)) + 0.822900960305943,961,00:00:07.66,False
10,1.0,1.0,(((x0 * x0) + x0) * (((((x0 * x0) * x0) + x0) * x0) + ((((x0 * x0) / (x0 * x0))**(x0))**(x0)))),x0*(x0 + 1)*(x0**2*(x0**2 + 1) + 1),583,00:00:06.78,True
11,0.9996280725791652,0.9982423191994179,(((x0 / sin(x0)) * (sin(x0) / (0.415**(x0)))) / (sin((0.415**(x0)))**(x0))),2.40963855421687**x0*x0/sin(0.415**x0)**x0,996,00:00:16.79,False
12,0.9926443253639261,0.9909045897973653,(((x0 + (x0 * x0)) * (x0 * x0)) + (x0 / (0.298**(x0)))),3.35570469798658**x0*x0*(0.298**x0*x0**2*(x0 + 1) + 1),553,00:00:15.67,False
