Run,TrainR2Score,TestR2Score,BestSolution,BestSolutionSimplified,IterationOfBestSolution,Time,SympyEquivalence
0,0.754395337539642,0.7876460450841403,sin((x0 - 0.448)),sin(x0 - 0.448),39,00:00:05.62,False
1,0.9333002618633802,0.9365140771581538,sin(((((x1 - x1) - (x1 - (x1 - x1))) * x1) + x0)),sin(x0 - x1**2),28,00:00:05.80,False
2,1.0,1.0,(x0 - (x1 * x1)),x0 - x1**2,97,00:00:00.82,True
3,0.842273046752303,0.8927348788816534,cos((cos(cos((x1 + x1))) - (x0 - cos((x0 - x0))))),cos(-x0 + cos(cos(2*x1)) + 1),516,00:00:06.25,False
4,1.0,1.0,(x0 - (x1 * x1)),x0 - x1**2,159,00:00:01.79,True
5,1.0,1.0,(x0 - (x1 * x1)),x0 - x1**2,277,00:00:04.42,True
6,0.9333002618633802,0.9365140771581538,sin((x0 - (x1 * x1))),sin(x0 - x1**2),82,00:00:05.45,False
7,0.7576619745419348,0.7940128399898068,cos((((x0 + x0) / x0) - x0)),cos(x0 - 2),289,00:00:06.22,False
8,1.0,1.0,((sin((((x1 - x1) / (x1 * x0)) * x1)) - (((x1 - x1) / (x1 * x0)) + (x1 * x1))) + x0),x0 - x1**2,177,00:00:02.16,True
9,0.9354242787697349,0.9397190162545256,sin((((x1 * x1) / -0.905) + x0)),sin(x0 - 1.10497237569061*x1**2),951,00:00:05.69,False
10,0.8072196377209246,0.8278661367094557,sin(((cos(x1) - cos((cos(x1) - cos(x1)))) + ((cos(x1) - cos(x1)) + x0))),sin(x0 + cos(x1) - 1),448,00:00:05.08,False
11,0.9333002618633802,0.9365140771581538,sin((x0 - (x1 * x1))),sin(x0 - x1**2),472,00:00:06.11,False
12,0.9333002618633802,0.9365140771581538,sin((x0 + ((x1 - x1) - (x1 * x1)))),sin(x0 - x1**2),477,00:00:06.98,False
13,0.9333002618633802,0.9365140771581538,sin(((x0 + x1) - ((x1 * x1) + x1))),sin(x0 - x1**2),237,00:00:05.48,False
14,0.9333002618633802,0.9365140771581538,sin((x0 - (x1 * x1))),sin(x0 - x1**2),405,00:00:06.03,False
15,0.9216222302351937,0.9218753593311669,sin(((log(cos(x1)) / 0.653) + x0)),sin(x0 + 1.53139356814701*log(cos(x1))),165,00:00:06.24,False
16,0.7783675694545397,0.8166489820514876,cos((((-0.584 * x0) + (x0 / x0)) + ((-0.584 * x0) + (x0 / x0)))),cos(1.168*x0 - 2),944,00:00:06.78,False
17,1.0,1.0,(x0 - (((-0.789 / x1) / x1) / ((((-0.789 / x1) / x1) / x1) / x1))),x0 - 1.0*x1**2,104,00:00:01.42,True
18,1.0,1.0,(x0 - (x1 * x1)),x0 - x1**2,219,00:00:02.22,True
19,0.7604697110936225,0.8063934041384403,sin((-0.366 + x0)),sin(x0 - 0.366),681,00:00:05.82,False
20,1.0,1.0,(x0 - (x1 * x1)),x0 - x1**2,278,00:00:03.98,True
21,0.87415055966212,0.8704215077068723,sin(sin(((x0 + -0.017) - (x1 * x1)))),-sin(sin(-x0 + x1**2 + 0.017)),582,00:00:05.65,False
22,0.8328466993329864,0.8015527579723444,sin(((x0 + (cos(x1) - cos(x0))) + (cos(x1) - cos(-0.254)))),sin(x0 - cos(x0) + 2*cos(x1) - 0.967915057223562),763,00:00:05.73,False
23,0.9333002618633802,0.9365140771581538,sin((x0 - (x1 * x1))),sin(x0 - x1**2),274,00:00:05.61,False
24,0.9333002618633802,0.9365140771581538,sin((x0 - (x1 * x1))),sin(x0 - x1**2),726,00:00:05.54,False
25,1.0,1.0,((x0 - ((x0 * x1) - x0)) + (x0 - (x0 - (((x0 - x1) * x1) - x0)))),x0 - x1**2,547,00:00:04.95,True
26,0.9321861929077165,0.9353263002243324,sin((((x1 * x1) * -0.981) + x0)),sin(x0 - 0.981*x1**2),463,00:00:05.91,False
27,1.0,1.0,(x0 - (x1 * x1)),x0 - x1**2,181,00:00:02.56,True
28,0.8959278578705544,0.9167638042217374,log((sin(sin(sin(sin(x0)))) + (sin(sin(sin(x1))) / x1))),log(sin(sin(sin(sin(x0)))) + sin(sin(sin(x1)))/x1),727,00:00:06.43,False
29,0.8566829143762782,0.8772417421385145,sin(((x1 * (-0.382 - x1)) + x0)),sin(x0 - x1*(x1 + 0.382)),234,00:00:07.38,False
