Run,TrainR2Score,TestR2Score,BestSolution,BestSolutionSimplified,IterationOfBestSolution,Time,SympyEquivalence
0,0.910096955154437,0.9037219013219766,sin((x1 + (x0 * x1))),sin(x1*(x0 + 1)),1001,00:00:05.22,False
1,0.910096955154437,0.9037219013219766,sin((x1 + (x0 * x1))),sin(x1*(x0 + 1)),1001,00:00:05.96,False
2,0.910096955154437,0.9037219013219766,sin(((x1 * x0) + x1)),sin(x1*(x0 + 1)),1001,00:00:06.35,False
3,1.0,1.0,((x1 * x0) + x1),x1*(x0 + 1),8,00:00:00.05,True
4,1.0,1.0,(x1 * ((x0 / x0) + x0)),x1*(x0 + 1),256,00:00:03.37,True
5,1.0,1.0,((((x0 + (x0 / x0)) / x0) * x1) * x0),x1*(x0 + 1),10,00:00:00.05,True
6,0.910096955154437,0.9037219013219766,sin((x1 + (x0 * x1))),sin(x1*(x0 + 1)),1001,00:00:05.36,False
7,0.910096955154437,0.9037219013219766,sin(((x0 * x1) + x1)),sin(x1*(x0 + 1)),1001,00:00:04.33,False
8,1.0,1.0,(((((x0 - x0) - x0) - (((x0 - x0) - x0) - (x1 * x0))) + (x0 - x0)) + x1),x1*(x0 + 1),80,00:00:00.98,True
9,0.9105082932669404,0.9056571682455444,sin(((cos(((x0 / x0) - cos(x0))) + x0) * x1)),sin(x1*(x0 + cos(cos(x0) - 1))),1001,00:00:09.30,False
10,0.910096955154437,0.9037219013219766,sin((x1 + (x1 * x0))),sin(x1*(x0 + 1)),1001,00:00:04.94,False
11,1.0,1.0,(x1 + (x0 * x1)),x1*(x0 + 1),40,00:00:00.51,True
12,0.9108941951207866,0.9063575626931841,sin((sin((x0 * x1)) + x1)),sin(x1 + sin(x0*x1)),1001,00:00:05.21,False
13,1.0,1.0,(x1 + (x0 * x1)),x1*(x0 + 1),29,00:00:00.26,True
14,1.0,1.0,((x1 + (x0 * x1)) + ((-0.278 * x0) - ((-0.278 * x0) - (x1 - x1)))),x1*(x0 + 1),121,00:00:01.15,True
15,0.9126425855744055,0.9077284035454809,sin((cos((0.734**(x0))) * ((x1 + x1) / (cos((0.734**(x0)))**(x0))))),sin(2*x1*cos(0.734**x0)**(1 - x0)),1001,00:00:04.58,False
16,0.9108941951207866,0.9063575626931841,sin((x1 + sin((x0 * x1)))),sin(x1 + sin(x0*x1)),1001,00:00:04.54,False
17,1.0,1.0,(((x1 / x1) + x0) * x1),x1*(x0 + 1),56,00:00:00.91,True
18,0.910096955154437,0.9037219013219766,sin(((x1 * x0) + x1)),sin(x1*(x0 + 1)),1001,00:00:06.83,False
19,1.0,1.0,(((x0 * x1) * (x1 + (x1 * x0))) / (x0 * x1)),x1*(x0 + 1),56,00:00:00.73,True
20,0.910096955154437,0.9037219013219766,sin(((x1 * x0) + x1)),sin(x1*(x0 + 1)),1001,00:00:04.99,False
21,0.910096955154437,0.9037219013219766,sin(((x0 * x1) + x1)),sin(x1*(x0 + 1)),1001,00:00:05.60,False
22,0.910096955154437,0.9037219013219766,sin((x1 + (x0 * x1))),sin(x1*(x0 + 1)),1001,00:00:05.88,False
23,1.0,1.0,((cos(log((x1 / x1))) + x0) * x1),x1*(x0 + 1),20,00:00:00.34,True
24,0.8945168250015473,0.8904613343765484,sin((x1 * ((x0 - -0.863) - (x1 - x1)))),sin(x1*(x0 + 0.863)),1001,00:00:05.26,False
25,0.910096955154437,0.9037219013219766,sin((x1 + (x0 * x1))),sin(x1*(x0 + 1)),1001,00:00:09.39,False
26,1.0,1.0,((((x1 / x1) + -0.457) / ((((x1 / x1) + -0.457) / x1) / x0)) + x1),x1*(1.0*x0 + 1),325,00:00:03.98,True
27,0.910096955154437,0.9037219013219766,sin((x1 + (x1 * x0))),sin(x1*(x0 + 1)),1001,00:00:05.55,False
28,0.9108941951207866,0.9063575626931841,sin((sin((x1 * x0)) + x1)),sin(x1 + sin(x0*x1)),1001,00:00:04.99,False
29,0.910096955154437,0.9037219013219766,sin((x1 + (x1 * x0))),sin(x1*(x0 + 1)),1001,00:00:04.58,False
