Run,TrainR2Score,TestR2Score,BestSolution,BestSolutionSimplified,IterationOfBestSolution,Time,SympyEquivalence
0,0.5179103158720546,0.495118483574595,log((x0 + ((x0 * x0) + ((x0 * x0) / ((x0 * x0) + (x0 - x0)))))),log(x0**2 + x0 + 1),775,00:00:08.24,False
1,1.0,1.0,(x0 * (((x0 / x0) * (((x0 / x0)**((x0 * x0))) + x0)) * (((x0 + x0)**((x0 - x0))) + ((x0 * x0) * ((x0 / x0)**((x0 * x0))))))),x0*(x0 + 1)*(x0**2 + 1),291,00:00:05.82,True
2,0.5868990465477701,0.5337981151418474,log(((cos((x0 - x0)) + (x0 * x0)) / (cos(x0) + ((cos(x0) + (x0 - x0)) - x0)))),log((x0**2 + 1)/(-x0 + 2*cos(x0))),85,00:00:07.06,False
3,0.5170126980632919,0.5096926024676993,sin((sin((sin(x0) * x0)) + x0)),sin(x0 + sin(x0*sin(x0))),870,00:00:07.06,False
4,0.5171582189769759,0.5085747638037634,sin(((sin((x0 - -0.616)) - -0.616) * x0)),sin(x0*(sin(x0 + 0.616) + 0.616)),836,00:00:07.05,False
5,1.0,1.0,(x0 + (((x0 + (x0 * (x0 * x0))) + (x0 * x0)) * x0)),x0*(x0*(x0**2 + x0 + 1) + 1),578,00:00:13.29,True
6,0.7000344492574324,0.713058362258844,log(((((x0 + (x0 * x0)) + 0.908) + (x0 + (x0 * x0))) + (x0 * x0))),log(3*x0**2 + 2*x0 + 0.908),833,00:00:07.02,False
7,0.9403307230205773,0.950223071251178,log((x0 / sin((x0 - (x0 * x0))))),log(-x0/sin(x0*(x0 - 1))),545,00:00:07.53,False
8,0.6570351110839834,0.698893420608387,log((((x0 + cos(cos(x0))) - (-0.454 - 0.461))**(((((x0 / x0)**((-0.454 - 0.461))) + cos(cos(x0))) - (-0.454 - -0.454))))),log((x0 + cos(cos(x0)) + 0.915)**(cos(cos(x0)) + 1)),49,00:00:06.97,False
9,1.0,1.0,((((x0 + ((x0 / x0) / x0)) * x0) * (x0 * ((x0 / x0) + x0))) / ((x0 / x0)**((x0 + log(x0))))),x0*(x0 + 1)*(x0**2 + 1),492,00:00:14.65,True
10,0.5495655356770275,0.5430140905206668,log((x0 + ((x0 * x0) + ((x0 * x0) + (sin(x0) / sin(x0)))))),log(2*x0**2 + x0 + 1),687,00:00:07.80,False
11,0.5495655356770275,0.5430140905206668,log(((((x0 / x0) + x0) + (x0 * x0)) + (x0 * x0))),log(2*x0**2 + x0 + 1),370,00:00:06.55,False
