Run,TrainR2Score,TestR2Score,BestSolution,BestSolutionSimplified,IterationOfBestSolution,Time,SympyEquivalence
0,0.9583736906041393,0.9580664554176118,log(((0.08**((((-0.856 / x0) * sin(x0)) * sin(x0)))) - (x0 - sin(x0)))),log(-x0 + sin(x0) + 0.08**(-0.856*sin(x0)**2/x0)),458,00:00:06.93,False
1,0.9978881478948632,0.9952497046335197,(sin(x0) + (((sin(sin(x0)) / sin(x0)) + sin(x0)) * sin(sin(sin(x0))))),((sin(x0)**2 + sin(sin(x0)))*sin(sin(sin(x0))) + sin(x0)**2)/sin(x0),17,00:00:18.99,False
2,0.9059247606040475,0.8749074187328632,sin((((x0 * x0) + x0) + (x0 - (((x0 / x0) * (x0 * x0)) * (x0 * x0))))),sin(x0*(-x0**3 + x0 + 2)),978,00:00:10.49,False
3,0.997227136881917,0.9966925293789847,(((cos((x0 * x0)) + (cos((x0 * x0)) + x0)) * x0) - ((x0 * (x0 * sin((x0 * x0)))) * cos(x0))),x0*(-x0*sin(x0**2)*cos(x0) + x0 + 2*cos(x0**2)),701,00:00:18.37,False
4,0.9026968106790189,0.8808406904552593,cos((sin(sin(x0)) + ((sin(x0) - (0.578 - -0.151)) - (0.578 - -0.151)))),cos(sin(x0) + sin(sin(x0)) - 1.458),257,00:00:09.22,False
5,1.0,1.0,((sin((x0**((x0 / x0))))**((x0 / x0))) + sin((x0 + (x0 * x0)))),sin(x0) + sin(x0*(x0 + 1)),865,00:00:14.22,True
6,0.9006912539793961,0.869450505697224,cos(((((-0.363 - x0) + cos(-0.363)) - x0) + cos(-0.363))),cos(2*x0 - 1.50667158206159),34,00:00:08.20,False
7,0.9041811538386276,0.8802657217961937,sin((cos((((x0 - 0.841) - 0.841) + (x0 * x0))) + sin(x0))),sin(sin(x0) + cos(x0**2 + x0 - 1.682)),240,00:00:07.33,False
8,0.9064192695106494,0.9172873142780006,log((((0.888 / 0.041) * cos(x0))**(((x0 - 0.29) - (((x0 - 0.29) - (x0 * 0.29)) - (x0 * 0.29)))))),log((21.6585365853659*cos(x0))**(0.58*x0)),230,00:00:08.71,False
9,0.8978952037580117,0.8622790305754865,cos((((cos(cos(x0)) + cos(x0)) - x0) - x0)),cos(-2*x0 + cos(x0) + cos(cos(x0))),852,00:00:08.65,False
10,0.9947759710007531,0.9956404959118323,((((x0 - (x0 - x0)) + (x0 * x0)) + (x0 - (x0 - ((x0 + x0) / (x0 / x0))))) * sin(sin(sin(sin(cos(x0)))))),x0*(x0 + 3)*sin(sin(sin(sin(cos(x0))))),893,00:00:19.76,False
11,0.8978952037580117,0.8622790305754865,cos((((cos(cos(x0)) + cos(x0)) - x0) - x0)),cos(-2*x0 + cos(x0) + cos(cos(x0))),829,00:00:07.55,False
12,0.9975938024971703,0.9965828402519258,((sin(sin(sin(x0))) * (sin(sin(x0)) + (x0 / sin(x0)))) + sin(sin(sin(sin(x0))))),((x0 + sin(x0)*sin(sin(x0)))*sin(sin(sin(x0))) + sin(x0)*sin(sin(sin(sin(x0)))))/sin(x0),104,00:00:17.34,False
13,0.9007404984084189,0.8692612042675593,cos((((cos((-0.778 / -0.778)) + cos(0.28)) - x0) - x0)),cos(2*x0 - 1.50135774417891),409,00:00:08.14,False
14,0.9847389355611424,0.988161555747767,((((x0 + x0) + sin((x0 + x0))) - x0) * cos(sin((x0 - 0.609)))),(x0 + sin(2*x0))*cos(sin(x0 - 0.609)),952,00:00:19.23,False
15,0.898107340600049,0.8706573957631158,sin((((0.984**((x0 + x0))) - 0.984) + (x0 + x0))),sin(0.968256**x0 + 2*x0 - 0.984),872,00:00:08.90,False
16,0.9819213142896385,0.984704151471574,(cos(x0) * (x0 + (0.021 + (x0 * (cos(0.021) + x0))))),(x0*(x0 + 0.999779508103256) + x0 + 0.021)*cos(x0),81,00:00:16.50,False
17,0.9766033653852562,0.9777651426295558,log(((((x0 - -0.009) - x0)**((x0 / ((x0 * 0.485) / (x0 * -0.213))))) - (-0.213 - -0.009))),log(0.204 + 0.009**(-0.439175257731959*x0)),43,00:00:08.40,False
18,0.9995698360893956,0.9993856917472139,(sin(((sin(x0) / x0) * (x0 + (x0 * x0)))) + sin(x0)),sin(x0) + sin((x0 + 1)*sin(x0)),899,00:00:13.89,False
19,0.9963139371461178,0.9970654560735032,(((x0 / x0) + (x0 + cos(((x0 * x0) + sin(x0))))) * x0),x0*(x0 + cos(x0**2 + sin(x0)) + 1),919,00:00:15.24,False
20,0.9029322848144796,0.8648240596493141,log((((((x0 + x0) + (x0 + x0)) / x0)**((((x0 + x0) * x0) / x0))) - log(cos(x0)))),log(16**x0 - log(cos(x0))),446,00:00:07.39,False
