Run,TrainR2Score,TestR2Score,BestSolution,BestSolutionSimplified,IterationOfBestSolution,Time,SympyEquivalence
0,0.9820494926858085,0.9821252912855728,log(((((sin(x0) + (x0 * x0)) + (x0 * x0)) + (x0 * x0)) + ((sin(x0) / (x0 * x0)) * x0))),log(3*x0**2 + sin(x0) + sin(x0)/x0),387,00:00:07.12,False
1,0.9980831866410411,0.9981821960331494,(sin(x0) * ((x0 / sin(x0)) - (x0 - (x0 / 0.722)))),x0*(0.385041551246537*sin(x0) + 1),952,00:00:17.70,False
2,0.9984079098126971,0.9979644018695,(x0 / cos(sin(cos(0.515)))),1.38558597478663*x0,449,00:00:14.77,False
3,0.996844200219954,0.9975736161121811,(((x0 - (sin(x0) / (x0 + (x0 + 0.477)))) / (x0 + 0.477)) + x0),x0 + (x0 - sin(x0)/(2*x0 + 0.477))/(x0 + 0.477),327,00:00:14.46,False
4,0.9534746406439135,0.9484688363399837,log(((((x0 + x0) + ((x0 / x0) / x0))**(x0)) / (x0 / x0))),log((2*x0 + 1/x0)**x0),217,00:00:06.72,False
5,0.998510328571146,0.9981645991135104,(x0 / (sin(sin(0.721))**(sin(0.721)))),1.38102039529002*x0,719,00:00:20.15,False
6,0.9901961900674867,0.9830140350436658,log((((x0 + x0)**(x0)) + (x0 + x0))),log(2*x0 + (2*x0)**x0),71,00:00:07.32,False
7,0.998178475075635,0.9974098204184946,(((log(sin(x0)) + (-0.745 * x0)) + x0) + (x0 - log(sin(sin(x0))))),1.255*x0 + log(sin(x0)) - log(sin(sin(x0))),912,00:00:17.53,False
8,0.9972264342314452,0.9967603714886312,((x0 - (x0 - x0)) / (0.172**(0.172))),1.35359613967798*x0,464,00:00:16.76,False
9,0.9957027309242533,0.9960079732589019,log((((((x0 + x0) / cos(x0)) / x0) / (((x0 + x0) / cos(x0)) / (x0 * (x0**(x0))))) + ((x0 * (x0**(x0))) + ((x0 + x0) + (x0 - x0))))),log(2*x0 + x0**x0 + x0**(x0 + 1)),740,00:00:08.37,False
10,0.9996320427754016,0.9995001043670223,(sin(x0) - (sin(sin(((x0 * 0.498) / (x0**(x0))))) - x0)),x0 + sin(x0) - sin(sin(0.498*x0**(1 - x0))),535,00:00:14.70,False
11,0.9967889280240703,0.9954694511915239,((x0 / 0.711) * (x0 / x0)),1.40646976090014*x0,422,00:00:16.40,False
12,0.9985074219600045,0.9982392193772762,(x0 * ((x0 / x0) + 0.375)),1.375*x0,177,00:00:16.27,False
13,0.9974829815347535,0.9974761862693563,(x0 / cos(sin(cos(cos(sin(x0)))))),x0/cos(sin(cos(cos(sin(x0))))),702,00:00:17.01,False
14,0.9957027309242533,0.9960079732589019,log(((((x0**(x0)) * x0) + (x0 + x0)) + (x0**(x0)))),log(2*x0 + x0**x0 + x0**(x0 + 1)),844,00:00:06.81,False
15,0.9985052811121244,0.9982382991197851,(x0 / sin(cos(0.619))),1.37484542431088*x0,293,00:00:17.93,False
16,0.995256377753037,0.9943065667853354,log((((x0 * x0) / (((x0 * x0) / (x0 * x0)) / (x0 * x0))) + ((((x0 / x0) + (x0 - x0)) + sin((x0 * x0))) + sin(x0)))),log(x0**4 + sin(x0) + sin(x0**2) + 1),273,00:00:08.61,False
17,0.9985215273868692,0.9982412830916306,(cos((sin((x0 - x0)) / (x0 / x0))) * (((((x0 / 0.899) / (0.899 * x0)) * x0) / (0.899 * x0)) * x0)),1.37632476609199*x0,818,00:00:16.82,False
18,0.9959806152112911,0.9942821192365819,(((-0.09 * x0) * 0.708) / ((-0.09 * 0.708) * 0.708)),1.41242937853107*x0,415,00:00:15.27,False
19,0.9983839313393926,0.9979222386666288,log((((((x0 / x0) + (x0 / x0)) + (x0 / x0)) + (x0 / x0))**(x0))),log(4**x0),254,00:00:07.46,False
20,0.9978345016692082,0.9975273731303423,(((cos(sin(sin(x0))) * x0) + x0) * cos(sin(cos(sin(sin(x0)))))),x0*(cos(sin(sin(x0))) + 1)*cos(sin(cos(sin(sin(x0))))),762,00:00:15.37,False
21,0.9857495052481229,0.9835821488248824,log((((sin(x0) + x0) * (x0 + x0)) + (sin(x0)**((x0 - x0))))),log(2*x0*(x0 + sin(x0)) + 1),594,00:00:06.67,False
22,0.9826149883643631,0.9694250239191738,log((((x0**(x0))**(x0)) + (x0 + (x0 + (x0 * x0))))),log(x0**2 + 2*x0 + (x0**x0)**x0),679,00:00:07.23,False
23,0.9955708815456153,0.994650312259012,((x0**((x0 / x0))) / sin(sin((x0 / (x0**((x0 / x0))))))),x0/sin(sin(1)),446,00:00:15.91,False
24,0.9984770021001415,0.9980930059045358,(x0 + (((x0 * (x0 / (x0 / x0))) * 0.383) / (x0 * (x0 / x0)))),1.383*x0,401,00:00:20.13,False
25,0.9987636162320273,0.9980343662811846,(x0 * (cos(x0) - (0.178 - x0))),x0*(x0 + cos(x0) - 0.178),112,00:00:13.95,False
26,0.9985081160531809,0.9982394959281053,(x0 / (cos(-0.959)**(cos(-0.959)))),1.37505178593347*x0,25,00:00:18.96,False
27,0.9979892601067484,0.9972811261624572,((x0 / (x0 / ((x0 / -0.847) / (-0.847 - x0)))) - ((x0 / (x0 / ((x0 / -0.847) / (-0.847 - x0)))) / (-0.847 / x0))),x0*(1.18063754427391*x0 + 1)/(0.847*x0 + 0.717409),105,00:00:19.06,False
28,0.9810232914141223,0.9811598595250789,log((((x0 + cos(x0)) + (x0 + cos((x0 * -0.574))))**(x0))),log((2*x0 + cos(0.574*x0) + cos(x0))**x0),683,00:00:06.69,False
29,0.9991514385786034,0.9988709487992377,((x0 * sin(0.958)) * (cos(x0) - (-0.118 - x0))),0.818042890710956*x0*(x0 + cos(x0) + 0.118),514,00:00:16.62,False
