Run,TrainR2Score,TestR2Score,BestSolution,BestSolutionSimplified,IterationOfBestSolution,Time,SympyEquivalence
0,0.7859748256273077,0.6421987209949761,sin((((sin(sin(x0)) + 0.782) + 0.782) * sin(x0))),sin((sin(sin(x0)) + 1.564)*sin(x0)),1001,00:00:13.84,False
1,1.0,1.0,(((x0 + x0) + ((x0 + (x0 * x0)) * x0)) - x0),x0*(x0*(x0 + 1) + 1),331,00:00:12.43,True
2,0.786875164460711,0.6525446206704806,sin((((sin(x0) * x0) * sin(x0)) + sin(((sin(x0) * sin(x0)) + sin(x0))))),sin(x0*sin(x0)**2 + sin((sin(x0) + 1)*sin(x0))),1001,00:00:13.40,False
3,0.9964492778804974,0.9958937486665878,(((((x0 - 0.54) - 0.54) * x0) * x0) + ((((x0 - 0.54) * (x0 + x0)) + x0) + x0)),x0*(x0*(x0 - 1.08) + 2*x0 + 0.92),1001,00:00:27.75,False
4,0.7782128501444894,0.5830284142712097,sin((x0 + (sin(sin((x0 * x0))) * (x0 - -0.919)))),sin(x0 + (x0 + 0.919)*sin(sin(x0**2))),1001,00:00:07.66,False
5,1.0,1.0,((((x0 * ((x0 * x0) + x0)) + x0) * x0) / x0),x0*(x0*(x0 + 1) + 1),777,00:00:12.85,True
6,1.0,1.0,(((x0 * ((x0 / x0) * ((x0 * x0) + x0))) + x0)**(((x0 / x0)**(((x0**((x0 + x0))) + (sin(x0)**(((x0 * x0)**((x0 / x0)))))))))),x0*(x0*(x0 + 1) + 1),88,00:00:03.06,True
7,0.9744103140257578,0.9833866886679042,log((x0 / (x0 - (x0 * x0)))),log(-1/(x0 - 1)),1001,00:00:06.47,False
8,0.7738358835285564,0.6457034536777163,sin((((x0 / sin((x0 - -0.227))) + x0) * sin((x0 - -0.227)))),sin(x0*(sin(x0 + 0.227) + 1)),1001,00:00:06.50,False
9,1.0,1.0,((x0 + ((x0 + (x0 / x0)) * x0)) - (((x0 / x0) - (x0 * x0)) * x0)),x0*(x0**2 + x0 + 1),206,00:00:03.19,True
10,1.0,1.0,(((((x0 * x0) + x0) * (x0 * x0)) + (x0 * x0)) / x0),x0*(x0*(x0 + 1) + 1),204,00:00:02.72,True
11,0.8048943625587615,0.8743674639486034,log(((cos(x0) / (x0 / x0))**(((cos(x0) - ((0.958 + x0) / cos(0.879))) - ((0.958 + x0) / cos(0.879)))))),log(cos(x0)**(-3.13518167702053*x0 + cos(x0) - 3.00350404658567)),1001,00:00:06.77,False
12,0.7756860067129958,0.59343172884602,sin((((cos(cos(x0)) * cos(cos(x0))) * (cos(cos(x0)) + x0)) + x0)),sin(x0 + (x0 + cos(cos(x0)))*cos(cos(x0))**2),1001,00:00:07.25,False
