Run,TrainR2Score,TestR2Score,BestSolution,BestSolutionSimplified,IterationOfBestSolution,Time,SympyEquivalence
0,0.6612068719058622,0.6483044997318552,cos((x1 + (x0 - (x1 / x1)))),cos(x0 + x1 - 1),1001,00:00:05.62,False
1,0.7149020998208151,0.8036061387279161,cos(((-0.622 + -0.622) + (x1 + x0))),cos(x0 + x1 - 1.244),1001,00:00:05.30,False
2,0.7061744901196171,0.7526143836771213,sin(((cos(cos((x0 / x0))) - 0.421) + (x0 + x1))),sin(x0 + x1 - 0.421 + cos(cos(1))),1001,00:00:04.98,False
3,0.7758551276637505,0.9275784196176879,sin((x1 + ((x0 + (x1 * x1)) + -0.071))),sin(x0 + x1**2 + x1 - 0.071),1001,00:00:05.79,False
4,0.7822338078539547,0.9124734167732179,cos((x1 - ((cos(x1) * (cos(x1) - x0)) + 0.59))),cos(x1 + (x0 - cos(x1))*cos(x1) - 0.59),1001,00:00:05.64,False
5,1.0,1.0,((x0 + x1) + (x1 * x1)),x0 + x1**2 + x1,223,00:00:02.65,True
6,1.0,1.0,(x0 + (((x1 / ((x1 - x1) + (x0 / x0))) + (x0 / x0)) * x1)),x0 + x1*(x1 + 1),709,00:00:07.90,True
7,0.6633392018034321,0.6332511044878983,sin((sin(sin(x1)) + cos((x0 + -0.965)))),sin(sin(sin(x1)) + cos(x0 - 0.965)),1001,00:00:05.45,False
8,0.7145011183394303,0.7864799400289931,sin(((x1 + x0) - -0.372)),sin(x0 + x1 + 0.372),1001,00:00:05.99,False
9,0.6995206581177826,0.8267251932424388,sin(((x0 - ((x0 - x1) * x1)) + (((x1 * x1) * x1) + x1))),sin(x0 + x1**3 - x1*(x0 - x1) + x1),1001,00:00:06.46,False
10,0.7502276268258048,0.856368634106747,sin(((((x1 + 0.162) + 0.162) * ((x1 + 0.162) + 0.162)) + sin(x0))),sin((x1 + 0.324)**2 + sin(x0)),1001,00:00:05.16,False
11,1.0,1.0,((x0 + x1) - (x1 * (x0 - (x0 + x1)))),x0 + x1**2 + x1,580,00:00:08.98,True
12,0.7995885748486128,0.8966872783741451,sin(((x0 + x1) - ((x1 - (x1 * x1)) - (x1 - (x1 * x0))))),sin(-x0*x1 + x0 + x1**2 + x1),1001,00:00:05.81,False
13,0.7009529319000622,0.737631982652621,sin((x1 + (0.46 + x0))),sin(x0 + x1 + 0.46),1001,00:00:06.45,False
14,0.9531318560373969,0.9669277733980648,((x1 + x0) + ((x1 * cos(x1)) * (x1 + x1))),x0 + 2*x1**2*cos(x1) + x1,1001,00:00:16.94,False
15,1.0,1.0,((x1 * x1) + (x1 + x0)),x0 + x1**2 + x1,335,00:00:06.04,True
16,0.6972768776710634,0.8234670127196572,cos(((sin(sin(x1)) + sin(sin(-0.719))) + (x0 + -0.719))),cos(x0 + sin(sin(x1)) - 1.3310359936561),1001,00:00:08.97,False
17,0.97610382794864,0.9799934843323083,(((x0 - x0) * cos(x1)) - (((((x0 - x0) * x1) - sin((x1 + x1))) * x1) - (x0 + x1))),x0 + x1*sin(2*x1) + x1,1001,00:00:22.05,False
18,0.7418583548387602,0.8239427558530823,cos((sin((x1 + -0.421)) + ((x0 + -0.421) + -0.421))),cos(x0 + sin(x1 - 0.421) - 0.842),1001,00:00:06.41,False
19,0.7746038810825964,0.9363520208587025,sin(((x0 + x1) + (x1 * x1))),sin(x0 + x1**2 + x1),1001,00:00:05.59,False
20,0.7067847896857962,0.7752721002152113,sin((((x1 + x0) + x0) - ((x1 * x0) + x0))),sin(-x0*x1 + x0 + x1),1001,00:00:05.53,False
21,1.0,1.0,(x0 + (x1 + ((x1 * x1)**((x0 / x0))))),x0 + x1**2 + x1,198,00:00:01.61,True
22,0.6805778097661677,0.6888540748312657,sin(((x1 - (0.239**(x1))) - ((-0.525 - x0) - (0.239**(x1))))),sin(x0 + x1 + 0.525),1001,00:00:05.21,False
23,1.0,1.0,((x1 + (x1 * x1)) + x0),x0 + x1**2 + x1,421,00:00:07.27,True
24,0.7434021468524146,0.8806464481570366,sin((x1 + (((x0 / x0) + (x0 - x0)) - (cos(x1) - x0)))),sin(x0 + x1 - cos(x1) + 1),1001,00:00:05.83,False
25,0.7268036900164403,0.855000411864513,sin(((sin(((x1 * 0.435) * x1)) + sin(x0)) + x1)),sin(x1 + sin(x0) + sin(0.435*x1**2)),1001,00:00:05.77,False
26,1.0,1.0,((((x1 * x1) + x1) + (x0 + x0)) - x0),x0 + x1**2 + x1,76,00:00:00.81,True
27,1.0,1.0,(x0 * (((x0 + x1) + (x1 * x1)) / x0)),x0 + x1**2 + x1,207,00:00:02.03,True
28,0.6102031468728971,0.5667455675463269,sin(cos(((0.493**(x0)) * (0.493**(x1))))),sin(cos(0.493**(x0 + x1))),1001,00:00:05.11,False
29,0.8026160657889669,0.9074321451070642,sin(((cos(x1) * (x1 + x0)) + (x1 * x1))),sin(x1**2 + (x0 + x1)*cos(x1)),1001,00:00:07.76,False
