Run,TrainR2Score,TestR2Score,BestIndividual,GenerationOfBestSolution,Time,SympyEquivalence
0,0.9779856393207151,0.9727331288172768,((x0 + (x0 * x0)) / (cos(x0)**(x0))),50,00:01:23.56,False
1,0.7453372049146602,0.740133995443236,(sin(x0) + (x0 * x0)),50,00:01:21.65,False
2,0.8701527334095995,0.875453368045001,((x0 + (x0 * x0)) + sin((x0 - -0.256))),50,00:01:45.85,False
3,0.9104862915030847,0.9215474023463616,log((x0 / (x0 - (x0 * x0)))),50,00:01:52.98,False
4,0.7453372049146602,0.740133995443236,(sin(x0) + (x0 * x0)),50,00:01:36.98,False
5,0.8327188332878193,0.8485568340345034,(((0.016 + x0) + (x0 + -0.27)) * (cos(x0) + sin(x0))),50,00:01:30.29,False
6,0.8764508367919761,0.8788658879873175,(((0.521 + x0) * (x0 + x0)) + log(sin((x0 / x0)))),50,00:01:41.87,False
7,0.7861873999570433,0.7823574894731111,((x0 + (x0 * x0)) / ((x0 / x0)**((x0 + x0)))),50,00:01:14.77,False
8,0.9876682317935789,0.988764465858629,(x0 / ((-0.71 * sin((-0.71 * 0.576)))**(x0))),50,00:01:28.62,False
9,0.7453372049146602,0.740133995443236,(sin(x0) + (x0 * x0)),50,00:01:57.01,False
10,0.7861873999570433,0.7823574894731111,(x0 * ((x0 / x0) + x0)),50,00:01:54.94,False
11,0.7861873999570433,0.7823574894731111,((x0 * x0) + x0),50,00:01:56.15,False
12,0.7861873999570433,0.7823574894731111,(x0 + (x0 * x0)),50,00:01:09.06,False
13,0.8087530639598848,0.8249467821260023,((sin((sin(x0) * cos(x0))) + (cos(cos(x0))**((cos(x0) + cos(x0))))) + x0),50,00:01:36.70,False
14,0.7817382384794163,0.7680939807622539,(sin(x0) / sin((cos(log((x0 - x0))) - (x0 - (x0 / x0))))),50,00:01:39.61,False
15,0.8804679316531374,0.9042404637126649,((x0 + cos(x0)) / ((0.476 / x0) / x0)),50,00:01:36.04,False
16,0.824068090279561,0.8198241480819611,(x0 - log((cos(x0) * cos(x0)))),50,00:01:25.64,False
17,0.9104862915030847,0.9215474023463616,((log((x0 / (x0 - (x0 * x0)))) / x0) * x0),50,00:01:15.03,False
18,0.9848062440475073,0.9859251140787124,(x0 / (0.287**(x0))),50,00:01:12.41,False
19,0.7565186583606822,0.7542054294760421,(sin((x0 * x0)) + x0),50,00:01:16.27,False
20,0.7453372049146602,0.740133995443236,(sin(x0) + (x0 * x0)),50,00:01:52.66,False
21,0.9209782403601963,0.9373017265111223,(x0 + (((0.358 + x0) * (x0 + x0)) - sin(sin(0.328)))),50,00:02:30.60,False
22,0.720381275976639,0.7343185334485738,(((0.747 + x0) * (x0 / x0)) * sin((x0 + x0))),50,00:01:19.18,False
23,0.7861873999570433,0.7823574894731111,((x0 * x0) + x0),50,00:01:16.51,False
24,0.5906368417599827,0.622754703611452,(sin(((x0 + (x0 + x0)) - (sin(x0) + (x0 - x0)))) - log(0.62)),50,00:01:12.28,False
25,0.7453372049146602,0.740133995443236,((x0 * x0) + sin(x0)),50,00:01:31.17,False
26,0.8991709052732535,0.9024545805895422,((x0 + x0) * (x0 + 0.592)),50,00:01:19.46,False
27,0.7453372049146602,0.740133995443236,((x0 * x0) + sin(x0)),50,00:01:56.68,False
28,0.9440126700961818,0.9329967292387642,(((x0 * x0) + sin(x0)) / cos((x0 * x0))),50,00:01:24.71,False
29,0.7453372049146602,0.740133995443236,((x0 * x0) + sin(x0)),50,00:01:30.41,False
